instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0000,156.4074,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5380.0000,122.6146,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5182.0000,98.6585,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4677.0000,113.8563,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5032.0000,91.5360,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,4955.0000,132.7200,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5068.0000,112.1146,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4542.0000,150.3784,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5169.0000,123.2499,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0000,104.6407,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14131.0000,98.4873,Clique_Full
500_r0c14_nw100_ew100_1.rgg,0,14742.0000,104.5502,Clique_Full
500_r0c14_nw100_ew100_2.rgg,0,15516.0000,149.6779,Clique_Full
500_r0c14_nw100_ew100_3.rgg,0,14622.0000,116.9527,Clique_Full
500_r0c14_nw100_ew100_4.rgg,0,14817.0000,134.3565,Clique_Full
500_r0c14_nw100_ew100_5.rgg,0,14547.0000,119.6666,Clique_Full
500_r0c14_nw100_ew100_6.rgg,0,14833.0000,118.2909,Clique_Full
500_r0c14_nw100_ew100_7.rgg,0,14365.0000,125.3385,Clique_Full
500_r0c14_nw100_ew100_8.rgg,0,14002.0000,113.0631,Clique_Full
500_r0c14_nw100_ew100_9.rgg,0,14705.0000,104.7328,Clique_Full
500_r0c14_nw10_ew1000_0.rgg,0,120442.0000,123.7308,Clique_Full
500_r0c14_nw10_ew1000_1.rgg,0,122550.0000,126.3771,Clique_Full
500_r0c14_nw10_ew1000_2.rgg,0,122735.0000,116.8810,Clique_Full
500_r0c14_nw10_ew1000_3.rgg,0,119959.0000,105.2529,Clique_Full
500_r0c14_nw10_ew1000_4.rgg,0,128104.0000,142.2276,Clique_Full
500_r0c14_nw10_ew1000_5.rgg,0,120532.0000,110.8465,Clique_Full
500_r0c14_nw10_ew1000_6.rgg,0,125968.0000,102.2681,Clique_Full
500_r0c14_nw10_ew1000_7.rgg,0,126718.0000,111.9672,Clique_Full
500_r0c14_nw10_ew1000_8.rgg,0,126915.0000,114.4047,Clique_Full
500_r0c14_nw10_ew1000_9.rgg,0,126767.0000,158.3931,Clique_Full
