instance,best_obj,lower_bound,gap_percent,lazy_cuts,total_time
500_r0c14_nw1000_ew10_0.rgg,4550.0000,4550.0000,0.00,0,140.1107
500_r0c14_nw1000_ew10_1.rgg,4983.0000,4983.0000,0.00,0,157.7451
500_r0c14_nw1000_ew10_2.rgg,4798.0000,4797.9908,0.00,0,114.4940
500_r0c14_nw1000_ew10_3.rgg,4623.0000,4623.0000,0.00,0,82.1128
500_r0c14_nw1000_ew10_4.rgg,4722.0000,4722.0000,0.00,0,162.7249
500_r0c14_nw1000_ew10_5.rgg,4937.0000,4937.0000,0.00,0,159.2907
500_r0c14_nw1000_ew10_6.rgg,4769.0000,4769.0000,0.00,0,120.2566
500_r0c14_nw1000_ew10_7.rgg,4296.0000,4296.0000,0.00,0,151.0565
500_r0c14_nw1000_ew10_8.rgg,4838.0000,4838.0000,0.00,0,127.9304
500_r0c14_nw1000_ew10_9.rgg,5070.0000,5070.0000,0.00,0,111.7045
500_r0c14_nw100_ew100_0.rgg,13157.0000,12021.9679,8.63,0,1500.0079
500_r0c14_nw100_ew100_1.rgg,13345.0000,12202.8536,8.56,2,1500.0170
500_r0c14_nw100_ew100_2.rgg,13839.0000,12657.8094,8.54,11,1500.0137
500_r0c14_nw100_ew100_3.rgg,13169.0000,12075.8682,8.30,5,1500.0101
500_r0c14_nw100_ew100_4.rgg,13530.0000,12392.2569,8.41,4,1500.0139
500_r0c14_nw100_ew100_5.rgg,13173.0000,12325.1705,6.44,2,1500.0085
500_r0c14_nw100_ew100_6.rgg,13558.0000,12448.8676,8.18,2,1500.0141
500_r0c14_nw100_ew100_7.rgg,13471.0000,12344.1430,8.37,0,1500.0080
500_r0c14_nw100_ew100_8.rgg,13172.0000,12107.1255,8.08,1,1500.0114
500_r0c14_nw100_ew100_9.rgg,13555.0000,12267.4478,9.50,3,1500.0093
500_r0c14_nw10_ew1000_0.rgg,110638.0000,97182.2527,12.16,8,1500.0135
500_r0c14_nw10_ew1000_1.rgg,114443.0000,98065.8937,14.31,2,1500.0256
500_r0c14_nw10_ew1000_2.rgg,112790.0000,98375.5727,12.78,0,1500.0333
500_r0c14_nw10_ew1000_3.rgg,111188.0000,97133.0806,12.64,6,1500.0273
500_r0c14_nw10_ew1000_4.rgg,114274.0000,99508.7811,12.92,2,1500.0135
500_r0c14_nw10_ew1000_5.rgg,111619.0000,95221.8456,14.69,5,1500.0238
500_r0c14_nw10_ew1000_6.rgg,114569.0000,99532.8925,13.12,5,1500.0129
500_r0c14_nw10_ew1000_7.rgg,115029.0000,101314.1356,11.92,8,1500.0189
500_r0c14_nw10_ew1000_8.rgg,112085.0000,96736.4425,13.69,3,1500.0137
500_r0c14_nw10_ew1000_9.rgg,114463.0000,98719.0786,13.75,0,1500.0105
