instance,best_obj,best_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,0.9352
500_r0c14_nw1000_ew10_1.rgg,4983,4983,0,0.9684
500_r0c14_nw1000_ew10_2.rgg,4798,4798,0,2.628
500_r0c14_nw1000_ew10_3.rgg,4623,4623,0,0.7336
500_r0c14_nw1000_ew10_4.rgg,4722,4722,0,0.5667
500_r0c14_nw1000_ew10_5.rgg,4937,4937,0,0.8989
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,0.9193
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,0.5536
500_r0c14_nw1000_ew10_8.rgg,4838,4838,0,3.9962
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,0.5108
500_r0c14_nw100_ew100_0.rgg,13124,12449,5.14,1500.0076
500_r0c14_nw100_ew100_1.rgg,13244,12483,5.75,1500.009
500_r0c14_nw100_ew100_2.rgg,13861,13155,5.09,1500.0049
500_r0c14_nw100_ew100_3.rgg,13374,12452,6.89,1500.006
500_r0c14_nw100_ew100_4.rgg,13546,12749,5.88,1500.0064
500_r0c14_nw100_ew100_5.rgg,13173,12739,3.29,1500.0069
500_r0c14_nw100_ew100_6.rgg,13511.0000,12913.0000,4.43,1500.0048
500_r0c14_nw100_ew100_7.rgg,13506.0000,12662.0000,6.25,1500.0067
500_r0c14_nw100_ew100_8.rgg,13172.0000,12459.0000,5.41,1500.0061
500_r0c14_nw100_ew100_9.rgg,13510.0000,12712.0000,5.91,1500.0111
500_r0c14_nw10_ew1000_0.rgg,110638.0000,100028.0000,9.59,1500.0070
500_r0c14_nw10_ew1000_1.rgg,113127.0000,101110.0000,10.62,1500.0317
500_r0c14_nw10_ew1000_2.rgg,112710.0000,101279.0000,10.14,1500.0069
500_r0c14_nw10_ew1000_3.rgg,108626.0000,99980.0000,7.96,1500.0059
500_r0c14_nw10_ew1000_4.rgg,113971.0000,102224.0116,10.31,1500.0112
500_r0c14_nw10_ew1000_5.rgg,111582.0000,98156.0000,12.03,1500.0314
500_r0c14_nw10_ew1000_6.rgg,113722.0000,102064.0007,10.25,1500.0078
500_r0c14_nw10_ew1000_7.rgg,115029.0000,102850.0000,10.59,1500.0133
500_r0c14_nw10_ew1000_8.rgg,112085.0000,99339.0000,11.37,1500.0045
500_r0c14_nw10_ew1000_9.rgg,116914.0000,101732.0073,12.99,1500.0071
