instance,best_obj,best_bound,lazy_cuts_added,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4550,248,0.6713
500_r0c14_nw1000_ew10_1.rgg,4983,4982.6667,334,1.4909
500_r0c14_nw1000_ew10_2.rgg,4798,4798,342,3.1733
500_r0c14_nw1000_ew10_3.rgg,4623,4623,280,1.0819
500_r0c14_nw1000_ew10_4.rgg,4722,4721.8333,376,1.1693
500_r0c14_nw1000_ew10_5.rgg,4937,4937,310,1.207
500_r0c14_nw1000_ew10_6.rgg,4769,4769,367,1.3696
500_r0c14_nw1000_ew10_7.rgg,4296,4296,431,0.5638
500_r0c14_nw1000_ew10_8.rgg,4838,4838,329,4.973
500_r0c14_nw1000_ew10_9.rgg,5070,5070,262,1.9335
500_r0c14_nw100_ew100_0.rgg,13774,9353.1605,2962,1500.0079
