instance,best_obj,best_bound,lazy_cuts_added,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4549.5701,84,1.0169
500_r0c14_nw1000_ew10_1.rgg,4983,4982.875,124,1.863
500_r0c14_nw1000_ew10_2.rgg,4798,4797.5262,153,4.4005
500_r0c14_nw1000_ew10_3.rgg,4623,4623,114,1.2873
500_r0c14_nw1000_ew10_4.rgg,4722,4722,136,2.971
500_r0c14_nw1000_ew10_5.rgg,4937,4937,116,1.2682
500_r0c14_nw1000_ew10_6.rgg,4769,4768.6667,175,1.7903
500_r0c14_nw1000_ew10_7.rgg,4296,4296,114,0.5614
500_r0c14_nw1000_ew10_8.rgg,4838,4838,136,4.7126
500_r0c14_nw1000_ew10_9.rgg,5070,5070,108,1.7586
500_r0c14_nw100_ew100_0.rgg,13569,9033.3483,2139,1500.0073
