instance,best_obj,best_bound,lazy_cuts_added,total_time,,
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,1.085,,
500_r0c14_nw1000_ew10_1.rgg,4983,4983,0,1.2652,,
500_r0c14_nw1000_ew10_2.rgg,4798,4798,0,1.4517,,
500_r0c14_nw1000_ew10_3.rgg,4623,4623,0,1.2305,,
500_r0c14_nw1000_ew10_4.rgg,4722,4722,0,0.7709,,
500_r0c14_nw1000_ew10_5.rgg,4937,4937,0,1.005,,
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,1.1311,,
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,0.6795,,
500_r0c14_nw1000_ew10_8.rgg,4838,4838,0,1.3475,,
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,0.721,,
500_r0c14_nw100_ew100_0.rgg,13164,12414,0,1500.0445,,6.041565974
