instance,best_obj,best_bound,lazy_cuts_added,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,4.7344
500_r0c14_nw1000_ew10_1.rgg,4983,4983,4,6.5493
500_r0c14_nw1000_ew10_2.rgg,4798,4798,2,5.7414
500_r0c14_nw1000_ew10_3.rgg,4623,4623,7,4.4784
500_r0c14_nw1000_ew10_4.rgg,4722,4722,8,5.4868
500_r0c14_nw1000_ew10_5.rgg,4937,4936.5115,3,7.6366
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,5.4545
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,4.4986
500_r0c14_nw1000_ew10_8.rgg,4838,4837.9629,3,10.7138
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,4.5667
500_r0c14_nw100_ew100_0.rgg,13124,11995.0172,1,1500.0097
