instance,num_incorrect,cost,time,winner
1000_r0c099_nw1000_ew10_0.rgg,0,9964.0000,6.8493,LP_Rounding
1000_r0c099_nw1000_ew10_1.rgg,0,9028.0000,8.2231,LP_Rounding
1000_r0c099_nw1000_ew10_2.rgg,0,10365.0000,6.3225,LP_Rounding
1000_r0c099_nw1000_ew10_3.rgg,0,10213.0000,9.6614,LP_Rounding
1000_r0c099_nw1000_ew10_4.rgg,0,9924.0000,8.0478,LP_Rounding
1000_r0c099_nw1000_ew10_5.rgg,0,9955.0000,9.3737,LP_Rounding
1000_r0c099_nw1000_ew10_6.rgg,0,9092.0000,6.6868,LP_Rounding
1000_r0c099_nw1000_ew10_7.rgg,0,9899.0000,8.4161,LP_Rounding
1000_r0c099_nw1000_ew10_8.rgg,0,8828.0000,6.7214,LP_Rounding
1000_r0c099_nw1000_ew10_9.rgg,0,10060.0000,8.7368,LP_Rounding
1000_r0c099_nw100_ew100_0.rgg,0,30268.0000,8.6167,Clique_Cost
1000_r0c099_nw100_ew100_1.rgg,0,28478.0000,11.5021,Clique_Size
1000_r0c099_nw100_ew100_2.rgg,0,30012.0000,6.1729,Clique_Hub
1000_r0c099_nw100_ew100_3.rgg,0,28225.0000,10.8386,Clique_Inverse_size
1000_r0c099_nw100_ew100_4.rgg,0,28990.0000,10.8981,Clique_Hub
1000_r0c099_nw100_ew100_5.rgg,0,29096.0000,9.9728,Clique_Inverse_size
1000_r0c099_nw100_ew100_6.rgg,0,29772.0000,9.6107,Clique_Cost
1000_r0c099_nw100_ew100_7.rgg,0,29737.0000,7.1620,Clique_Hub
1000_r0c099_nw100_ew100_8.rgg,0,30020.0000,8.6008,Clique_Hub
1000_r0c099_nw100_ew100_9.rgg,0,29548.0000,9.6238,Clique_Cost
1000_r0c099_nw10_ew1000_0.rgg,0,255484.0000,9.4847,Clique_Cost
1000_r0c099_nw10_ew1000_1.rgg,0,258739.0000,8.6191,Clique_Cost
1000_r0c099_nw10_ew1000_2.rgg,0,249662.0000,10.1136,Clique_Inverse_size
1000_r0c099_nw10_ew1000_3.rgg,0,245410.0000,10.9807,Clique_Size
1000_r0c099_nw10_ew1000_4.rgg,0,254584.0000,9.3244,Clique_Hub
1000_r0c099_nw10_ew1000_5.rgg,0,243253.0000,8.3174,Clique_Cost
1000_r0c099_nw10_ew1000_6.rgg,0,244668.0000,9.2185,Clique_Hub
1000_r0c099_nw10_ew1000_7.rgg,0,243019.0000,9.8957,Clique_Cost
1000_r0c099_nw10_ew1000_8.rgg,0,240976.0000,10.0404,Clique_Inverse_size
1000_r0c099_nw10_ew1000_9.rgg,0,255216.0000,11.0842,Clique_Cost
