instance,num_incorrect,cost,time,winner
1000_r0c099_nw1000_ew10_0.rgg,0,9964.0,7.0705,LP_Rounding
1000_r0c099_nw1000_ew10_1.rgg,0,9028.0,5.2411,LP_Rounding
1000_r0c099_nw1000_ew10_2.rgg,0,10365.0,6.2970,LP_Rounding
1000_r0c099_nw1000_ew10_3.rgg,0,10213.0,6.7381,LP_Rounding
1000_r0c099_nw1000_ew10_4.rgg,0,9924.0,6.2463,LP_Rounding
1000_r0c099_nw1000_ew10_5.rgg,0,9955.0,6.2386,LP_Rounding
1000_r0c099_nw1000_ew10_6.rgg,0,9092.0,5.2492,LP_Rounding
1000_r0c099_nw1000_ew10_7.rgg,0,9899.0,5.9567,LP_Rounding
1000_r0c099_nw1000_ew10_8.rgg,0,8828.0,5.6795,LP_Rounding
1000_r0c099_nw1000_ew10_9.rgg,0,10060.0,6.7678,LP_Rounding
1000_r0c099_nw100_ew100_0.rgg,0,29629.0,7.4105,Shift_Full
1000_r0c099_nw100_ew100_1.rgg,0,28145.0,7.5552,Shift_Full
1000_r0c099_nw100_ew100_2.rgg,0,28718.0,6.2179,Shift_Full
1000_r0c099_nw100_ew100_3.rgg,0,28455.0,8.7074,Shift_Full
1000_r0c099_nw100_ew100_4.rgg,0,29245.0,8.2409,Shift_Full
1000_r0c099_nw100_ew100_5.rgg,0,28674.0,8.6982,Shift_Full
1000_r0c099_nw100_ew100_6.rgg,0,29542.0,6.9218,Shift_Full
1000_r0c099_nw100_ew100_7.rgg,0,28744.0,6.8423,Shift_Full
1000_r0c099_nw100_ew100_8.rgg,0,29407.0,10.1647,Shift_Full
1000_r0c099_nw100_ew100_9.rgg,0,29089.0,7.4945,Shift_Full
1000_r0c099_nw10_ew1000_0.rgg,0,245048.0,6.9211,Shift_Full
1000_r0c099_nw10_ew1000_1.rgg,0,253044.0,7.9391,Shift_Full
1000_r0c099_nw10_ew1000_2.rgg,0,246405.0,7.7337,Shift_Full
1000_r0c099_nw10_ew1000_3.rgg,0,253064.0,8.0910,Shift_Full
1000_r0c099_nw10_ew1000_4.rgg,0,247462.0,9.3612,Shift_Full
1000_r0c099_nw10_ew1000_5.rgg,0,245962.0,7.0123,Shift_Full
1000_r0c099_nw10_ew1000_6.rgg,0,245813.0,8.1873,Shift_Full
1000_r0c099_nw10_ew1000_7.rgg,0,251137.0,9.0198,Shift_Full
1000_r0c099_nw10_ew1000_8.rgg,0,239843.0,8.9979,Shift_Full
1000_r0c099_nw10_ew1000_9.rgg,0,252262.0,9.2628,Shift_Full
