instance,num_incorrect,cost,time,winner
1000_r0c14_nw1000_ew10_0.rgg,0,5682.0,5.1529,LP_Rounding
1000_r0c14_nw1000_ew10_1.rgg,0,6677.0,4.5513,LP_Rounding
1000_r0c14_nw1000_ew10_2.rgg,0,6441.0,4.3667,LP_Rounding
1000_r0c14_nw1000_ew10_3.rgg,0,5856.0,3.4922,LP_Rounding
1000_r0c14_nw1000_ew10_4.rgg,0,6290.0,5.7525,LP_Rounding
1000_r0c14_nw1000_ew10_5.rgg,0,5895.0,3.7957,LP_Rounding
1000_r0c14_nw1000_ew10_6.rgg,0,5798.0,5.2165,LP_Rounding
1000_r0c14_nw1000_ew10_7.rgg,0,6695.0,5.1995,LP_Rounding
1000_r0c14_nw1000_ew10_8.rgg,0,5717.0,4.7204,LP_Rounding
1000_r0c14_nw1000_ew10_9.rgg,0,6076.0,4.5943,LP_Rounding
1000_r0c14_nw100_ew100_0.rgg,0,27640.0,4.7500,Shift_Full
1000_r0c14_nw100_ew100_1.rgg,0,28133.0,5.2372,Shift_Full
1000_r0c14_nw100_ew100_2.rgg,0,28039.0,5.6831,Shift_Full
1000_r0c14_nw100_ew100_3.rgg,0,28376.0,4.1815,Shift_Full
1000_r0c14_nw100_ew100_4.rgg,0,28721.0,4.0054,Shift_Full
1000_r0c14_nw100_ew100_5.rgg,0,28666.0,5.9559,Shift_Full
1000_r0c14_nw100_ew100_6.rgg,0,28379.0,5.5995,Shift_Full
1000_r0c14_nw100_ew100_7.rgg,0,28204.0,4.9824,Shift_Full
1000_r0c14_nw100_ew100_8.rgg,0,28405.0,5.9794,Shift_Full
1000_r0c14_nw100_ew100_9.rgg,0,28039.0,4.8348,Shift_Full
1000_r0c14_nw10_ew1000_0.rgg,0,256609.0,4.9898,Shift_Full
1000_r0c14_nw10_ew1000_1.rgg,0,254318.0,5.8088,Shift_Full
1000_r0c14_nw10_ew1000_2.rgg,0,265483.0,6.2678,Shift_Full
1000_r0c14_nw10_ew1000_3.rgg,0,258251.0,6.1344,Shift_Full
1000_r0c14_nw10_ew1000_4.rgg,0,253216.0,5.9283,Shift_Full
1000_r0c14_nw10_ew1000_5.rgg,0,247357.0,5.6684,Shift_Full
1000_r0c14_nw10_ew1000_6.rgg,0,253424.0,6.2395,Shift_Full
1000_r0c14_nw10_ew1000_7.rgg,0,262464.0,5.1223,Shift_Full
1000_r0c14_nw10_ew1000_8.rgg,0,245728.0,6.1481,Shift_Full
1000_r0c14_nw10_ew1000_9.rgg,0,257891.0,6.7287,Shift_Full
