instance,num_incorrect,cost,time,winner
2000_r0c14_nw1000_ew10_0.rgg,0,10587.0000,28.1778,LP_Rounding
2000_r0c14_nw1000_ew10_1.rgg,0,9638.0000,33.0216,LP_Rounding
2000_r0c14_nw1000_ew10_2.rgg,0,9711.0000,30.9575,LP_Rounding
2000_r0c14_nw1000_ew10_3.rgg,0,9978.0000,33.6145,LP_Rounding
2000_r0c14_nw1000_ew10_4.rgg,0,9882.0000,38.6573,LP_Rounding
2000_r0c14_nw1000_ew10_5.rgg,0,9885.0000,37.8851,LP_Rounding
2000_r0c14_nw1000_ew10_6.rgg,0,9377.0000,38.0511,LP_Rounding
2000_r0c14_nw1000_ew10_7.rgg,0,9434.0000,32.8322,LP_Rounding
2000_r0c14_nw1000_ew10_8.rgg,0,9714.0000,31.4834,LP_Rounding
2000_r0c14_nw1000_ew10_9.rgg,0,9425.0000,28.8589,LP_Rounding
2000_r0c14_nw100_ew100_0.rgg,0,55500.0000,38.8869,Clique_Full
2000_r0c14_nw100_ew100_1.rgg,0,56238.0000,29.6115,Clique_Full
2000_r0c14_nw100_ew100_2.rgg,0,53744.0000,36.6082,Clique_Full
2000_r0c14_nw100_ew100_3.rgg,0,56333.0000,33.2823,Clique_Full
2000_r0c14_nw100_ew100_4.rgg,0,55036.0000,34.0329,Clique_Full
2000_r0c14_nw100_ew100_5.rgg,0,53839.0000,26.4040,Clique_Full
2000_r0c14_nw100_ew100_6.rgg,0,56200.0000,25.5229,Clique_Full
2000_r0c14_nw100_ew100_7.rgg,0,55940.0000,31.6833,Clique_Full
2000_r0c14_nw100_ew100_8.rgg,0,55621.0000,31.7404,Clique_Full
2000_r0c14_nw100_ew100_9.rgg,0,54056.0000,36.2098,Clique_Full
2000_r0c14_nw10_ew1000_0.rgg,0,531684.0000,37.8862,Clique_Full
2000_r0c14_nw10_ew1000_1.rgg,0,523232.0000,35.7230,Clique_Full
2000_r0c14_nw10_ew1000_2.rgg,0,525625.0000,31.4712,Clique_Full
2000_r0c14_nw10_ew1000_3.rgg,0,517196.0000,31.0536,Clique_Full
2000_r0c14_nw10_ew1000_4.rgg,0,514307.0000,34.9007,Clique_Full
2000_r0c14_nw10_ew1000_5.rgg,0,521833.0000,37.7880,Clique_Full
2000_r0c14_nw10_ew1000_6.rgg,0,538323.0000,37.1501,Clique_Full
2000_r0c14_nw10_ew1000_7.rgg,0,520578.0000,37.9832,Clique_Full
2000_r0c14_nw10_ew1000_8.rgg,0,527480.0000,35.1104,Clique_Full
2000_r0c14_nw10_ew1000_9.rgg,0,529804.0000,28.5899,Clique_Full
