instance,best_obj,lower_bound,gap_percent,total_time
300_r0c14_nw1000_ew10_0.rgg,3480.0,3480.0,0.0,0.5605
300_r0c14_nw1000_ew10_1.rgg,4892.0,4892.0,0.0,0.5453
300_r0c14_nw1000_ew10_2.rgg,4549.0,4549.0,0.0,0.5693
300_r0c14_nw1000_ew10_3.rgg,4791.0,4791.0,0.0,0.5399
300_r0c14_nw1000_ew10_4.rgg,5303.0,5303.0,0.0,0.5366
300_r0c14_nw1000_ew10_5.rgg,4754.0,4754.0,0.0,0.6933
300_r0c14_nw1000_ew10_6.rgg,4403.0,4403.0,0.0,0.6083
300_r0c14_nw1000_ew10_7.rgg,4476.0,4476.0,0.0,0.6642
300_r0c14_nw1000_ew10_8.rgg,4619.0,4619.0,0.0,0.6543
300_r0c14_nw1000_ew10_9.rgg,5756.0,5756.0,0.0,0.6612
300_r0c14_nw100_ew100_0.rgg,8278.0,8278.0,0.0,10.1321
300_r0c14_nw100_ew100_1.rgg,8474.0,8474.0,0.0,18.2471
300_r0c14_nw100_ew100_2.rgg,8042.0,8042.0,0.0,7.0275
300_r0c14_nw100_ew100_3.rgg,8387.0,8387.0,0.0,31.0122
300_r0c14_nw100_ew100_4.rgg,8570.0,8570.0,0.0,51.5534
300_r0c14_nw100_ew100_5.rgg,8192.0,8192.0,0.0,6.7416
300_r0c14_nw100_ew100_6.rgg,8761.0,8761.0,0.0,9.8532
300_r0c14_nw100_ew100_7.rgg,8429.0,8429.0,0.0,16.6237
300_r0c14_nw100_ew100_8.rgg,8590.0,8590.0,0.0,11.8223
300_r0c14_nw100_ew100_9.rgg,8391.0,8391.0,0.0,12.2373
300_r0c14_nw10_ew1000_0.rgg,63453.0,63453.0,0.0,10.9761
300_r0c14_nw10_ew1000_1.rgg,65972.0,65972.0,0.0,60.4532
300_r0c14_nw10_ew1000_2.rgg,65347.0,65347.0,0.0,43.0261
300_r0c14_nw10_ew1000_3.rgg,68529.0,68529.0,0.0,29.5978
300_r0c14_nw10_ew1000_4.rgg,67896.0,67896.0,0.0,10.5935
300_r0c14_nw10_ew1000_5.rgg,67998.0,67998.0,0.0,59.3135
300_r0c14_nw10_ew1000_6.rgg,62450.0,62450.0,0.0,15.5788
300_r0c14_nw10_ew1000_7.rgg,68239.0,68239.0,0.0,33.2848
300_r0c14_nw10_ew1000_8.rgg,63281.0,63281.0,0.0,21.9201
300_r0c14_nw10_ew1000_9.rgg,63531.0,63531.0,0.0,31.7623
