instance,best_obj,best_bound,gap_percent,total_time
350_r0c14_nw1000_ew10_0.rgg,5012.0000,5012.0000,0.00,0.1611
350_r0c14_nw1000_ew10_1.rgg,4546.0000,4546.0000,0.00,0.1479
350_r0c14_nw1000_ew10_2.rgg,4454.0000,4454.0000,0.00,0.1439
350_r0c14_nw1000_ew10_3.rgg,4906.0000,4906.0000,0.00,0.1548
350_r0c14_nw1000_ew10_4.rgg,5334.0000,5334.0000,0.00,0.3279
350_r0c14_nw1000_ew10_5.rgg,5045.0000,5045.0000,0.00,0.1912
350_r0c14_nw1000_ew10_6.rgg,4251.0000,4251.0000,0.00,0.1947
350_r0c14_nw1000_ew10_7.rgg,3946.0000,3946.0000,0.00,0.1939
350_r0c14_nw1000_ew10_8.rgg,4351.0000,4351.0000,0.00,0.1434
350_r0c14_nw1000_ew10_9.rgg,4299.0000,4299.0000,0.00,0.2046
350_r0c14_nw100_ew100_0.rgg,10018.0000,10018.0000,0.00,144.3487
350_r0c14_nw100_ew100_1.rgg,9179.0000,9179.0000,0.00,16.5128
350_r0c14_nw100_ew100_2.rgg,9348.0000,9348.0000,0.00,75.8637
350_r0c14_nw100_ew100_3.rgg,9948.0000,9948.0000,0.00,249.3746
350_r0c14_nw100_ew100_4.rgg,9678.0000,9678.0000,0.00,196.8731
350_r0c14_nw100_ew100_5.rgg,9883.0000,9883.0000,0.00,124.3752
350_r0c14_nw100_ew100_6.rgg,9378.0000,9378.0000,0.00,68.7488
350_r0c14_nw100_ew100_7.rgg,9316.0000,9316.0000,0.00,86.1310
350_r0c14_nw100_ew100_8.rgg,9618.0000,9618.0000,0.00,481.7319
350_r0c14_nw100_ew100_9.rgg,9692.0000,9692.0000,0.00,28.0347
350_r0c14_nw10_ew1000_0.rgg,80872.0000,80872.0000,0.00,257.8183
350_r0c14_nw10_ew1000_1.rgg,77930.0000,77930.0000,0.00,61.7345
350_r0c14_nw10_ew1000_2.rgg,73842.0000,73842.0000,0.00,183.0748
350_r0c14_nw10_ew1000_3.rgg,80955.0000,80955.0000,0.00,341.0068
350_r0c14_nw10_ew1000_4.rgg,75434.0000,75434.0000,0.00,213.6230
350_r0c14_nw10_ew1000_5.rgg,79231.0000,79231.0000,0.00,107.5876
350_r0c14_nw10_ew1000_6.rgg,76488.0000,76488.0000,0.00,68.1578
350_r0c14_nw10_ew1000_7.rgg,71729.0000,71729.0000,0.00,63.5377
350_r0c14_nw10_ew1000_8.rgg,78920.0000,78920.0000,0.00,111.8753
350_r0c14_nw10_ew1000_9.rgg,78711.0000,78711.0000,0.00,84.6535
