instance,best_obj,best_bound,gap_percent,total_time
5000_r0c14_nw1000_ew10_0.rgg,38433,0,100,1501.8603
5000_r0c14_nw1000_ew10_1.rgg,21515,15591,27.53,1511.4126
5000_r0c14_nw1000_ew10_2.rgg,38191,0,100,1501.6521
5000_r0c14_nw1000_ew10_3.rgg,40362,0,100,1501.6221
5000_r0c14_nw1000_ew10_4.rgg,38961,15471,60.29,1501.2416
5000_r0c14_nw1000_ew10_5.rgg,36918,0,100,1501.6366
5000_r0c14_nw1000_ew10_6.rgg,40993,0,100,1501.5545
5000_r0c14_nw1000_ew10_7.rgg,20927,15235,27.2,1508.7955
5000_r0c14_nw1000_ew10_8.rgg,37863,0,100,1501.6243
5000_r0c14_nw1000_ew10_9.rgg,39019,0,100,1501.5915
5000_r0c14_nw100_ew100_0.rgg,173863,0,100,1501.9389
5000_r0c14_nw100_ew100_1.rgg,177705,0,100,1501.8194
5000_r0c14_nw100_ew100_2.rgg,187772,0,100,1502.1119
5000_r0c14_nw100_ew100_3.rgg,186670,0,100,1501.7204
5000_r0c14_nw100_ew100_4.rgg,184752,0,100,1501.7966
5000_r0c14_nw100_ew100_5.rgg,185864,0,100,1501.8221
5000_r0c14_nw100_ew100_6.rgg,185025,0,100,1501.8818
5000_r0c14_nw100_ew100_7.rgg,181550,0,100,1501.6324
5000_r0c14_nw100_ew100_8.rgg,176621,0,100,1502.4908
5000_r0c14_nw100_ew100_9.rgg,178981,0,100,1501.8955
5000_r0c14_nw10_ew1000_0.rgg,1598695,0,100,1510.3502
5000_r0c14_nw10_ew1000_1.rgg,1788822,0,100,1519.76
5000_r0c14_nw10_ew1000_2.rgg,1649625,0,100,1516.0397
5000_r0c14_nw10_ew1000_3.rgg,1775090,0,100,1508.9784
5000_r0c14_nw10_ew1000_4.rgg,1737841,0,100,1510.593
5000_r0c14_nw10_ew1000_5.rgg,1677590,0,100,1507.9482
5000_r0c14_nw10_ew1000_6.rgg,1752115,0,100,1505.0469
5000_r0c14_nw10_ew1000_7.rgg,1705353,0,100,1537.9224
5000_r0c14_nw10_ew1000_8.rgg,1829538,0,100,1526.7149
5000_r0c14_nw10_ew1000_9.rgg,1778876,0,100,1504.115
