instance,best_obj,best_bound,lazy_cuts_added,total_time
5000_r0c0443_nw1000_ew10_0.rgg,42943.0000,42781.8251,3040,393.6737
500_r0c14_nw1000_ew10_0.rgg,4550.0000,4549.5701,84,1.0231
500_r0c14_nw1000_ew10_1.rgg,4983.0000,4982.8750,124,1.8351
500_r0c14_nw1000_ew10_2.rgg,4798.0000,4797.5262,153,4.3082
500_r0c14_nw1000_ew10_3.rgg,4623.0000,4623.0000,114,1.2721
500_r0c14_nw1000_ew10_4.rgg,4722.0000,4722.0000,136,3.0358
500_r0c14_nw1000_ew10_5.rgg,4937.0000,4937.0000,116,1.3028
500_r0c14_nw1000_ew10_6.rgg,4769.0000,4768.6667,175,1.8347
500_r0c14_nw1000_ew10_7.rgg,4296.0000,4296.0000,114,0.5619
500_r0c14_nw1000_ew10_8.rgg,4838.0000,4838.0000,136,4.7938
500_r0c14_nw1000_ew10_9.rgg,5070.0000,5070.0000,108,1.7819
500_r0c14_nw100_ew100_0.rgg,13569.0000,9020.7320,2137,1500.0087
500_r0c14_nw100_ew100_1.rgg,13790.0000,9292.6508,2360,1500.0158
500_r0c14_nw100_ew100_2.rgg,14627.0000,9587.4237,2558,1500.0099
500_r0c14_nw100_ew100_3.rgg,13781.0000,8542.9148,2537,1500.0069
500_r0c14_nw100_ew100_4.rgg,13896.0000,9092.0725,2367,1500.0103
500_r0c14_nw100_ew100_5.rgg,14205.0000,9033.7326,2265,1500.0116
500_r0c14_nw100_ew100_6.rgg,14928.0000,9476.1619,2812,1500.0132
500_r0c14_nw100_ew100_7.rgg,14247.0000,9074.9905,2408,1500.0092
500_r0c14_nw100_ew100_8.rgg,13569.0000,8703.7575,2345,1500.0114
500_r0c14_nw100_ew100_9.rgg,14038.0000,9036.6067,2245,1500.0109
500_r0c14_nw10_ew1000_0.rgg,120991.0000,60111.9185,2701,1500.0107
500_r0c14_nw10_ew1000_1.rgg,131211.0000,59192.9480,2821,1500.0088
500_r0c14_nw10_ew1000_2.rgg,133421.0000,57311.6936,3278,1500.0129
500_r0c14_nw10_ew1000_3.rgg,125902.0000,52967.6593,3066,1500.0099
500_r0c14_nw10_ew1000_4.rgg,118171.0000,52903.4938,3150,1500.0179
500_r0c14_nw10_ew1000_5.rgg,126534.0000,55041.1279,3148,1500.0126
500_r0c14_nw10_ew1000_6.rgg,128540.0000,59218.9763,3053,1500.0106
500_r0c14_nw10_ew1000_7.rgg,125803.0000,58388.0255,3000,1500.0136
500_r0c14_nw10_ew1000_8.rgg,124228.0000,54745.1587,3115,1500.0091
500_r0c14_nw10_ew1000_9.rgg,127446.0000,59104.7935,3199,1500.0086
