instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,5904.0000,0.1502
500_r0c14_nw1000_ew10_1.rgg,0,6557.0000,0.1251
500_r0c14_nw1000_ew10_2.rgg,0,5940.0000,0.1707
500_r0c14_nw1000_ew10_3.rgg,0,6840.0000,0.1009
500_r0c14_nw1000_ew10_4.rgg,0,6253.0000,0.1299
500_r0c14_nw1000_ew10_5.rgg,0,5507.0000,0.1510
500_r0c14_nw1000_ew10_6.rgg,0,7360.0000,0.1435
500_r0c14_nw1000_ew10_7.rgg,0,6210.0000,0.1114
500_r0c14_nw1000_ew10_8.rgg,0,5847.0000,0.1072
500_r0c14_nw1000_ew10_9.rgg,0,7562.0000,0.1228
500_r0c14_nw100_ew100_0.rgg,0,13575.0000,0.1533
500_r0c14_nw100_ew100_1.rgg,0,14580.0000,0.0963
500_r0c14_nw100_ew100_2.rgg,0,15439.0000,0.1960
500_r0c14_nw100_ew100_3.rgg,0,15216.0000,0.1503
500_r0c14_nw100_ew100_4.rgg,0,15232.0000,0.1549
500_r0c14_nw100_ew100_5.rgg,0,14447.0000,0.1366
500_r0c14_nw100_ew100_6.rgg,0,15198.0000,0.1133
500_r0c14_nw100_ew100_7.rgg,0,15045.0000,0.1579
500_r0c14_nw100_ew100_8.rgg,0,14492.0000,0.1622
500_r0c14_nw100_ew100_9.rgg,0,15160.0000,0.1411
500_r0c14_nw10_ew1000_0.rgg,0,131482.0000,0.1158
500_r0c14_nw10_ew1000_1.rgg,0,123666.0000,0.1449
500_r0c14_nw10_ew1000_2.rgg,0,124261.0000,0.1845
500_r0c14_nw10_ew1000_3.rgg,0,131817.0000,0.1376
500_r0c14_nw10_ew1000_4.rgg,0,127895.0000,0.1279
500_r0c14_nw10_ew1000_5.rgg,0,121365.0000,0.1396
500_r0c14_nw10_ew1000_6.rgg,0,136626.0000,0.1192
500_r0c14_nw10_ew1000_7.rgg,0,131083.0000,0.1375
500_r0c14_nw10_ew1000_8.rgg,0,127948.0000,0.1124
500_r0c14_nw10_ew1000_9.rgg,0,131087.0000,0.1459
