instance, num_incorrect, cost, time, winner
500_r0c14_nw1000_ew10_0.rgg, 0, 4571.0, 129.04494400002295, LP Rounding
500_r0c14_nw1000_ew10_1.rgg, 0, 5380.0, 170.2563688000082, LP Rounding
500_r0c14_nw1000_ew10_2.rgg, 0, 5144.0, 121.46853610000107, LP Rounding
500_r0c14_nw1000_ew10_3.rgg, 0, 4677.0, 93.91436009999597, LP Rounding
500_r0c14_nw1000_ew10_4.rgg, 0, 4917.0, 185.96786330000032, LP Rounding
500_r0c14_nw1000_ew10_5.rgg, 0, 5154.0, 184.55837919999612, LP Rounding
500_r0c14_nw1000_ew10_6.rgg, 0, 5233.0, 144.0208805000293, LP Rounding
500_r0c14_nw1000_ew10_7.rgg, 0, 4328.0, 178.0532388999709, LP Rounding
500_r0c14_nw1000_ew10_8.rgg, 0, 5039.0, 144.42468900000677, LP Rounding
500_r0c14_nw1000_ew10_9.rgg, 0, 5622.0, 135.4063822000171, LP Rounding
500_r0c14_nw100_ew100_0.rgg, 0, 14673.0, 134.27634720003698, Shift Full+LS
500_r0c14_nw100_ew100_1.rgg, 0, 14555.0, 135.71985609998228, Shift Full+LS
500_r0c14_nw100_ew100_2.rgg, 0, 15215.0, 145.6362863999675, Shift Full+LS
500_r0c14_nw100_ew100_3.rgg, 0, 14552.0, 132.2173438000027, Shift Full+LS
500_r0c14_nw100_ew100_4.rgg, 0, 14480.0, 149.21277139999438, Shift Full+LS
500_r0c14_nw100_ew100_5.rgg, 0, 14508.0, 139.13843699998688, Shift Full+LS
500_r0c14_nw100_ew100_6.rgg, 0, 14132.0, 175.71523500001058, Shift Full+LS
500_r0c14_nw100_ew100_7.rgg, 0, 14395.0, 145.8576555000036, Shift Full+LS
500_r0c14_nw100_ew100_8.rgg, 0, 14403.0, 141.34539269999368, Shift Full+LS
500_r0c14_nw100_ew100_9.rgg, 0, 14987.0, 159.82415550004225, Shift Full+LS
500_r0c14_nw10_ew1000_0.rgg, 0, 126864.0, 169.88516830001026, Shift Full+LS
500_r0c14_nw10_ew1000_1.rgg, 0, 127204.0, 145.87348319997545, Shift Full+LS
500_r0c14_nw10_ew1000_2.rgg, 0, 123220.0, 161.39324579999084, Shift Full+LS
500_r0c14_nw10_ew1000_3.rgg, 0, 125183.0, 168.4221825999557, Shift Full+LS
500_r0c14_nw10_ew1000_4.rgg, 0, 125035.0, 135.78477399999974, Shift Full+LS
500_r0c14_nw10_ew1000_5.rgg, 0, 121444.0, 142.87122900004033, Shift Full+LS
500_r0c14_nw10_ew1000_6.rgg, 0, 121302.0, 136.0104756000219, Shift Full+LS
500_r0c14_nw10_ew1000_7.rgg, 0, 124400.0, 166.6125721000135, Shift Full+LS
500_r0c14_nw10_ew1000_8.rgg, 0, 127913.0, 146.2174180999864, Shift Full+LS
500_r0c14_nw10_ew1000_9.rgg, 0, 128628.0, 151.3789814999909, Shift Full+LS
