instance, num_incorrect, cost, time, iterations
500_r0c14_nw1000_ew10_0.rgg,0,4819,1500.093398,14273
500_r0c14_nw1000_ew10_1.rgg,0,5686,1500.08391,15671
500_r0c14_nw1000_ew10_2.rgg,0,5428,1500.02602,15296
500_r0c14_nw1000_ew10_3.rgg,0,5278,1500.063686,13987
500_r0c14_nw1000_ew10_4.rgg,0,5275,1500.028985,15760
500_r0c14_nw1000_ew10_5.rgg,0,5199,1500.097773,15670
500_r0c14_nw1000_ew10_6.rgg,0,5817,1500.042534,14931
500_r0c14_nw1000_ew10_7.rgg,0,4590,1500.044468,15457
500_r0c14_nw1000_ew10_8.rgg,0,5175,1500.017025,16388
500_r0c14_nw1000_ew10_9.rgg,0,6987,1500.001622,16182
500_r0c14_nw100_ew100_0.rgg,0,14486,1500.023846,16213
500_r0c14_nw100_ew100_1.rgg,0,14530,1500.095632,16957
500_r0c14_nw100_ew100_2.rgg,0,15435,1500.093962,16341
500_r0c14_nw100_ew100_3.rgg,0,14251,1500.032547,16325
500_r0c14_nw100_ew100_4.rgg,0,14634,1500.054559,16705
500_r0c14_nw100_ew100_5.rgg,0,14720,1500.06148,16501
500_r0c14_nw100_ew100_6.rgg,0,14657,1500.044395,16448
500_r0c14_nw100_ew100_7.rgg,0,14760,1500.056643,15724
500_r0c14_nw100_ew100_8.rgg,0,13994,1500.016552,16048
500_r0c14_nw100_ew100_9.rgg,0,14365,1500.00057,16777
500_r0c14_nw10_ew1000_0.rgg,0,122807,1500.018635,16132
500_r0c14_nw10_ew1000_1.rgg,0,122519,1500.041367,16186
500_r0c14_nw10_ew1000_2.rgg,0,127234,1500.032697,16252
500_r0c14_nw10_ew1000_3.rgg,0,122251,1500.034739,16509
500_r0c14_nw10_ew1000_4.rgg,0,124679,1500.049266,15880
500_r0c14_nw10_ew1000_5.rgg,0,124507,1500.015775,16879
500_r0c14_nw10_ew1000_6.rgg,0,122431,1500.071824,16333
500_r0c14_nw10_ew1000_7.rgg,0,122771,1500.020107,15732
500_r0c14_nw10_ew1000_8.rgg,0,127917,1500.014236,16372
500_r0c14_nw10_ew1000_9.rgg,0,124654,1500.057457,15715
