instance,cost,time,iterations
500_r0c14_nw1000_ew10_0.rgg,4652.0000,1500.6580,2787
500_r0c14_nw1000_ew10_1.rgg,5569.0000,1500.5661,2475
500_r0c14_nw1000_ew10_2.rgg,5044.0000,1500.8516,2544
500_r0c14_nw1000_ew10_3.rgg,5203.0000,1500.0419,2983
500_r0c14_nw1000_ew10_4.rgg,5126.0000,1500.0151,3538
500_r0c14_nw1000_ew10_5.rgg,5084.0000,1500.2214,2551
500_r0c14_nw1000_ew10_6.rgg,5197.0000,1500.4377,3237
500_r0c14_nw1000_ew10_7.rgg,4588.0000,1500.2699,3024
500_r0c14_nw1000_ew10_8.rgg,5113.0000,1500.2825,3320
500_r0c14_nw1000_ew10_9.rgg,7360.0000,1500.3286,3188
500_r0c14_nw100_ew100_0.rgg,14002.0000,1500.2148,2036
500_r0c14_nw100_ew100_1.rgg,13907.0000,1500.0857,1987
500_r0c14_nw100_ew100_2.rgg,14811.0000,1500.2371,1834
500_r0c14_nw100_ew100_3.rgg,13970.0000,1500.1664,1646
500_r0c14_nw100_ew100_4.rgg,14205.0000,1500.4095,1907
500_r0c14_nw100_ew100_5.rgg,13978.0000,1500.1939,1950
500_r0c14_nw100_ew100_6.rgg,14402.0000,1500.6461,1711
500_r0c14_nw100_ew100_7.rgg,14108.0000,1500.2422,1852
500_r0c14_nw100_ew100_8.rgg,13773.0000,1500.2911,2219
500_r0c14_nw100_ew100_9.rgg,14053.0000,1500.3373,1921
500_r0c14_nw10_ew1000_0.rgg,115693.0000,1500.4271,1689
500_r0c14_nw10_ew1000_1.rgg,119101.0000,1500.6690,1681
500_r0c14_nw10_ew1000_2.rgg,118957.0000,1500.3959,1650
500_r0c14_nw10_ew1000_3.rgg,118903.0000,1500.3252,1774
500_r0c14_nw10_ew1000_4.rgg,124250.0000,1500.1575,1621
500_r0c14_nw10_ew1000_5.rgg,121744.0000,1500.2185,1602
500_r0c14_nw10_ew1000_6.rgg,121001.0000,1500.4572,1815
500_r0c14_nw10_ew1000_7.rgg,121088.0000,1501.1883,1899
500_r0c14_nw10_ew1000_8.rgg,118634.0000,1500.1241,1754
500_r0c14_nw10_ew1000_9.rgg,120094.0000,1500.1563,1593
