instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,8148,0.2041
500_r0c14_nw1000_ew10_1.rgg,0,7723,0.2035
500_r0c14_nw1000_ew10_2.rgg,0,6313,0.2114
500_r0c14_nw1000_ew10_3.rgg,0,6659,0.2407
500_r0c14_nw1000_ew10_4.rgg,0,8308,0.2059
500_r0c14_nw1000_ew10_5.rgg,0,6599,0.2960
500_r0c14_nw1000_ew10_6.rgg,0,8174,0.1733
500_r0c14_nw1000_ew10_7.rgg,0,5699,0.1390
500_r0c14_nw1000_ew10_8.rgg,0,6113,0.1343
500_r0c14_nw1000_ew10_9.rgg,0,8107,0.1318
500_r0c14_nw100_ew100_0.rgg,0,16067,0.1290
500_r0c14_nw100_ew100_1.rgg,0,15748,0.1187
500_r0c14_nw100_ew100_2.rgg,0,16985,0.1276
500_r0c14_nw100_ew100_3.rgg,0,15617,0.1273
500_r0c14_nw100_ew100_4.rgg,0,15204,0.1158
500_r0c14_nw100_ew100_5.rgg,0,16066,0.1256
500_r0c14_nw100_ew100_6.rgg,0,15389,0.1155
500_r0c14_nw100_ew100_7.rgg,0,15732,0.1228
500_r0c14_nw100_ew100_8.rgg,0,15250,0.2816
500_r0c14_nw100_ew100_9.rgg,0,16199,0.1829
500_r0c14_nw10_ew1000_0.rgg,0,148438,0.1915
500_r0c14_nw10_ew1000_1.rgg,0,146753,0.2370
500_r0c14_nw10_ew1000_2.rgg,0,135668,0.2564
500_r0c14_nw10_ew1000_3.rgg,0,132101,0.3385
500_r0c14_nw10_ew1000_4.rgg,0,143615,0.2009
500_r0c14_nw10_ew1000_5.rgg,0,137377,0.2127
500_r0c14_nw10_ew1000_6.rgg,0,137461,0.1622
500_r0c14_nw10_ew1000_7.rgg,0,137681,0.2426
500_r0c14_nw10_ew1000_8.rgg,0,142890,0.2483
500_r0c14_nw10_ew1000_9.rgg,0,132780,0.2273
