instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,0.6406,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,0.7824,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,0.8359,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,0.6572,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,0.7407,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,0.8062,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,0.8435,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,0.6869,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,0.7268,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,0.7781,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14342.0,0.5994,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14485.0,0.8330,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,14824.0,0.7922,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14541.0,0.7489,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14359.0,0.7390,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14429.0,0.7871,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,14804.0,0.8672,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14289.0,0.5929,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,13750.0,0.6912,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,15035.0,0.7217,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,121269.0,0.8833,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,126995.0,0.4946,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,119697.0,0.7097,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,122087.0,0.9215,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,129902.0,0.8610,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,124101.0,0.7662,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,126790.0,0.6593,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,118248.0,0.5853,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,123553.0,0.7546,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,125678.0,0.9331,Shift_Full
