instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,0.6519,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,0.6174,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,0.8006,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,0.6795,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,0.5983,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,0.6723,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,0.7686,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,0.6399,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,0.6047,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,0.7503,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14256.0,0.5768,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14328.0,0.7382,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,14206.0,0.7035,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14101.0,0.7220,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14874.0,0.6211,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14805.0,0.8361,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,14820.0,0.7947,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14707.0,0.6164,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,14134.0,0.6232,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,14575.0,0.5434,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,118527.0,0.7846,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,120139.0,0.5092,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,122443.0,0.7502,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,118910.0,0.7214,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,133122.0,0.8318,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,122897.0,0.8481,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,128028.0,0.5478,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,130271.0,0.4790,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,125775.0,0.7700,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,124644.0,0.8256,Shift_Full
