instance,best_obj,lower_bound,gap_percent,total_time,
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,1.7376,1
500_r0c14_nw1000_ew10_1.rgg,4983,4983,0,2.0057,1
500_r0c14_nw1000_ew10_2.rgg,4798,4798,0,2.5129,1
500_r0c14_nw1000_ew10_3.rgg,4623,4623,0,1.737,1
500_r0c14_nw1000_ew10_4.rgg,4722,4722,0,1.8222,1
500_r0c14_nw1000_ew10_5.rgg,4937,4937,0,1.8959,1
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,1.8617,1
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,1.725,1
500_r0c14_nw1000_ew10_8.rgg,4838,4838,0,2.1844,1
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,1.774,1
500_r0c14_nw100_ew100_0.rgg,13124,12582,4.129838464,1500.4024,40183
500_r0c14_nw100_ew100_1.rgg,13244,12608,4.80217457,1500.4659,39530
500_r0c14_nw100_ew100_2.rgg,13823,13248,4.159733777,1500.6053,38727
500_r0c14_nw100_ew100_3.rgg,13155,12611,4.135309768,1503.2671,38820
500_r0c14_nw100_ew100_4.rgg,13530,12868,4.892830746,1497.1813,39458
500_r0c14_nw100_ew100_5.rgg,13173,12931,1.83709102,1500.4259,39715
500_r0c14_nw100_ew100_6.rgg,13511,13016.00566,3.663639555,1500.4483,43391
500_r0c14_nw100_ew100_7.rgg,13439,12755,5.08966441,1503.492,38908
500_r0c14_nw100_ew100_8.rgg,13172,12554,4.691770422,1502.5503,38772
500_r0c14_nw100_ew100_9.rgg,13372,12768,4.516900987,1500.5605,38698
500_r0c14_nw10_ew1000_0.rgg,111249,101122,9.103,1502.6152,36573
500_r0c14_nw10_ew1000_1.rgg,114033.0,102293.0,10.295265405628196,1500.3646,25840.0
500_r0c14_nw10_ew1000_2.rgg,111909.0,102432.09081013741,8.46840664277457,1500.3985,28563.0
500_r0c14_nw10_ew1000_3.rgg,108626.0,101464.0,6.593264964189053,1500.5340,39090.0
500_r0c14_nw10_ew1000_4.rgg,113279.0,105681.0,6.70733322151502,1500.3540,44395.0
500_r0c14_nw10_ew1000_5.rgg,110032.0,100342.0,8.80652900974262,1500.5001,38417.0
500_r0c14_nw10_ew1000_6.rgg,114357.0,105335.0,7.889329031016904,1500.5248,38183.0
500_r0c14_nw10_ew1000_7.rgg,114444.0,104938.0,8.306245849498445,1500.4281,38429.0
500_r0c14_nw10_ew1000_8.rgg,110874.0,101217.0,8.7098868986417,1500.6061,39799.0
500_r0c14_nw10_ew1000_9.rgg,114194.0,104169.0,8.778920083366902,1500.5888,39086.0
