instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,2.4963
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,2.7115
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,2.7500
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,2.5082
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,2.5681
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,2.6321
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,2.6556
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,2.5150
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,2.5644
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,2.5610
500_r0c14_nw100_ew100_0.rgg,0,19239.0,2.4780
500_r0c14_nw100_ew100_1.rgg,0,17244.0,2.5773
500_r0c14_nw100_ew100_2.rgg,0,18767.0,2.5974
500_r0c14_nw100_ew100_3.rgg,0,18784.0,2.5642
500_r0c14_nw100_ew100_4.rgg,0,17929.0,2.5050
500_r0c14_nw100_ew100_5.rgg,0,17648.0,2.6010
500_r0c14_nw100_ew100_6.rgg,0,18644.0,2.6887
500_r0c14_nw100_ew100_7.rgg,0,18259.0,2.4119
500_r0c14_nw100_ew100_8.rgg,0,17377.0,2.4717
500_r0c14_nw100_ew100_9.rgg,0,18674.0,2.4893
500_r0c14_nw10_ew1000_0.rgg,0,174756.0,2.6266
500_r0c14_nw10_ew1000_1.rgg,0,194968.0,2.4495
500_r0c14_nw10_ew1000_2.rgg,0,172973.0,2.5767
500_r0c14_nw10_ew1000_3.rgg,0,180818.0,2.6689
500_r0c14_nw10_ew1000_4.rgg,0,166407.0,2.6667
500_r0c14_nw10_ew1000_5.rgg,0,183223.0,2.5990
500_r0c14_nw10_ew1000_6.rgg,0,210088.0,2.3386
500_r0c14_nw10_ew1000_7.rgg,0,200155.0,2.3785
500_r0c14_nw10_ew1000_8.rgg,0,173571.0,2.5986
500_r0c14_nw10_ew1000_9.rgg,0,181204.0,2.5767
