instance,best_obj,best_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,0.4119
500_r0c14_nw1000_ew10_1.rgg,4983,4983,0,0.5581
500_r0c14_nw1000_ew10_2.rgg,4798,4798,0,0.7743
500_r0c14_nw1000_ew10_3.rgg,4623,4623,0,0.3933
500_r0c14_nw1000_ew10_4.rgg,4722,4722,0,0.3295
500_r0c14_nw1000_ew10_5.rgg,4937,4937,0,0.5372
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,0.4604
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,0.299
500_r0c14_nw1000_ew10_8.rgg,4838,4838,0,0.8114
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,0.3026
