instance,num_incorrect,cost,time,iterations
500_r0c14_nw1000_ew10_0.rgg,0,5024.0000,1500.0000,48460388
500_r0c14_nw1000_ew10_1.rgg,0,5765.0000,1500.0000,48479311
500_r0c14_nw1000_ew10_2.rgg,0,5898.0000,1500.0000,48970156
500_r0c14_nw1000_ew10_3.rgg,0,5259.0000,1500.0000,48211017
500_r0c14_nw1000_ew10_4.rgg,0,5523.0000,1500.0000,48242331
500_r0c14_nw1000_ew10_5.rgg,0,5496.0000,1500.0000,48682720
500_r0c14_nw1000_ew10_6.rgg,0,5917.0000,1500.0000,46858344
500_r0c14_nw1000_ew10_7.rgg,0,5316.0000,1500.0000,49530724
500_r0c14_nw1000_ew10_8.rgg,0,5156.0000,1500.0000,48882003
500_r0c14_nw1000_ew10_9.rgg,0,6314.0000,1500.0000,48322939
500_r0c14_nw100_ew100_0.rgg,0,16334.0000,1500.0000,40374500
500_r0c14_nw100_ew100_1.rgg,0,16198.0000,1500.0000,40858013
500_r0c14_nw100_ew100_2.rgg,0,17263.0000,1500.0000,43015754
500_r0c14_nw100_ew100_3.rgg,0,16152.0000,1500.0000,46682001
