instance, num_incorrect, cost, time, iterations
500_r0c14_nw1000_ew10_0.rgg, 0, 7607.0, 1500.0043487999937, 56839
500_r0c14_nw1000_ew10_1.rgg, 0, 7781.0, 1500.011964800011, 58148
500_r0c14_nw1000_ew10_2.rgg, 0, 6319.0, 1500.006425999978, 53431
500_r0c14_nw1000_ew10_3.rgg, 0, 7441.0, 1500.0193777999957, 60785
500_r0c14_nw1000_ew10_4.rgg, 0, 9000.0, 1500.0079262999934, 63790
500_r0c14_nw1000_ew10_5.rgg, 0, 7453.0, 1500.0183939000126, 64753
500_r0c14_nw1000_ew10_6.rgg, 0, 7168.0, 1500.015062099963, 64388
500_r0c14_nw1000_ew10_7.rgg, 0, 6217.0, 1500.0040251000319, 64665
500_r0c14_nw1000_ew10_8.rgg, 0, 9309.0, 1500.0024074999965, 64876
500_r0c14_nw1000_ew10_9.rgg, 0, 8922.0, 1500.0159956999705, 64644
500_r0c14_nw100_ew100_0.rgg, 0, 14161.0, 1500.0126597000053, 64624
500_r0c14_nw100_ew100_1.rgg, 0, 14716.0, 1500.013496199972, 65264
500_r0c14_nw100_ew100_2.rgg, 0, 15465.0, 1500.0198257000302, 64394
500_r0c14_nw100_ew100_3.rgg, 0, 14025.0, 1500.0161671999958, 64358
500_r0c14_nw100_ew100_4.rgg, 0, 15063.0, 1500.0167252999963, 64429
500_r0c14_nw100_ew100_5.rgg, 0, 14396.0, 1500.0077903000056, 64608
500_r0c14_nw100_ew100_6.rgg, 0, 14286.0, 1500.015929599991, 64008
500_r0c14_nw100_ew100_7.rgg, 0, 14744.0, 1500.0066747000092, 65008
500_r0c14_nw100_ew100_8.rgg, 0, 13530.0, 1500.0001934000175, 65233
500_r0c14_nw100_ew100_9.rgg, 0, 14650.0, 1500.0033228999819, 64131
500_r0c14_nw10_ew1000_0.rgg, 0, 119517.0, 1500.0167205999605, 64440
500_r0c14_nw10_ew1000_1.rgg, 0, 122792.0, 1500.0149489000323, 64054
500_r0c14_nw10_ew1000_2.rgg, 0, 120306.0, 1500.0129058000166, 64092
500_r0c14_nw10_ew1000_3.rgg, 0, 122600.0, 1500.0083074000431, 63781
500_r0c14_nw10_ew1000_4.rgg, 0, 121669.0, 1500.0036439000396, 64365
500_r0c14_nw10_ew1000_5.rgg, 0, 113447.0, 1500.0150084000197, 64466
500_r0c14_nw10_ew1000_6.rgg, 0, 118394.0, 1500.0056422000052, 64162
500_r0c14_nw10_ew1000_7.rgg, 0, 118737.0, 1500.0020691999816, 64365
500_r0c14_nw10_ew1000_8.rgg, 0, 117355.0, 1500.0040859999717, 64400
500_r0c14_nw10_ew1000_9.rgg, 0, 126330.0, 1500.0053497999907, 64881
