instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,7157.0000,0.4580
500_r0c14_nw1000_ew10_1.rgg,0,6585.0000,0.4735
500_r0c14_nw1000_ew10_2.rgg,0,7689.0000,0.4165
500_r0c14_nw1000_ew10_3.rgg,0,7019.0000,0.4222
500_r0c14_nw1000_ew10_4.rgg,0,7209.0000,0.4749
500_r0c14_nw1000_ew10_5.rgg,0,6220.0000,0.4462
500_r0c14_nw1000_ew10_6.rgg,0,7124.0000,0.4570
500_r0c14_nw1000_ew10_7.rgg,0,7033.0000,0.4124
500_r0c14_nw1000_ew10_8.rgg,0,6034.0000,0.4611
500_r0c14_nw1000_ew10_9.rgg,0,8572.0000,0.4975
500_r0c14_nw100_ew100_0.rgg,0,14342.0000,0.4059
500_r0c14_nw100_ew100_1.rgg,0,14485.0000,0.4915
500_r0c14_nw100_ew100_2.rgg,0,14824.0000,0.4603
500_r0c14_nw100_ew100_3.rgg,0,14541.0000,0.4357
500_r0c14_nw100_ew100_4.rgg,0,14359.0000,0.5263
500_r0c14_nw100_ew100_5.rgg,0,14429.0000,0.4219
500_r0c14_nw100_ew100_6.rgg,0,14804.0000,0.4941
500_r0c14_nw100_ew100_7.rgg,0,14289.0000,0.4402
500_r0c14_nw100_ew100_8.rgg,0,13750.0000,0.5349
500_r0c14_nw100_ew100_9.rgg,0,15035.0000,0.5301
500_r0c14_nw10_ew1000_0.rgg,0,121269.0000,0.5568
500_r0c14_nw10_ew1000_1.rgg,0,126995.0000,0.4519
500_r0c14_nw10_ew1000_2.rgg,0,119697.0000,0.4375
500_r0c14_nw10_ew1000_3.rgg,0,121240.0000,0.4985
500_r0c14_nw10_ew1000_4.rgg,0,129902.0000,0.4699
500_r0c14_nw10_ew1000_5.rgg,0,124101.0000,0.4607
500_r0c14_nw10_ew1000_6.rgg,0,126790.0000,0.5535
500_r0c14_nw10_ew1000_7.rgg,0,118248.0000,0.4437
500_r0c14_nw10_ew1000_8.rgg,0,123553.0000,0.4280
500_r0c14_nw10_ew1000_9.rgg,0,125678.0000,0.5847
