instance, num_incorrect, cost, time
500_r0c14_nw1000_ew10_0.rgg, 0, 7851.0, 23.195385300030466
500_r0c14_nw1000_ew10_1.rgg, 0, 6876.0, 35.982462299987674
500_r0c14_nw1000_ew10_2.rgg, 0, 7700.0, 16.904973199998494
500_r0c14_nw1000_ew10_3.rgg, 0, 7019.0, 25.492474300030153
500_r0c14_nw1000_ew10_4.rgg, 0, 7268.0, 48.45225380000193
500_r0c14_nw1000_ew10_5.rgg, 0, 6378.0, 54.375986900005955
500_r0c14_nw1000_ew10_6.rgg, 0, 7578.0, 25.093565299990587
500_r0c14_nw1000_ew10_7.rgg, 0, 5354.0, 68.98672300000908
500_r0c14_nw1000_ew10_8.rgg, 0, 6594.0, 26.883426500018686
500_r0c14_nw1000_ew10_9.rgg, 0, 10456.0, 10.795736300002318
500_r0c14_nw100_ew100_0.rgg, 0, 14974.0, 30.476554699998815
500_r0c14_nw100_ew100_1.rgg, 0, 14555.0, 31.439657699957024
500_r0c14_nw100_ew100_2.rgg, 0, 15426.0, 33.888726700039115
500_r0c14_nw100_ew100_3.rgg, 0, 15167.0, 31.794813300017267
500_r0c14_nw100_ew100_4.rgg, 0, 14480.0, 41.60023929999443
500_r0c14_nw100_ew100_5.rgg, 0, 14508.0, 25.03676769998856
500_r0c14_nw100_ew100_6.rgg, 0, 14623.0, 41.020611500018276
500_r0c14_nw100_ew100_7.rgg, 0, 14650.0, 29.353050099976826
500_r0c14_nw100_ew100_8.rgg, 0, 14403.0, 28.626581399992574
500_r0c14_nw100_ew100_9.rgg, 0, 14987.0, 32.02305279998109
500_r0c14_nw10_ew1000_0.rgg, 0, 126864.0, 43.87882640003227
500_r0c14_nw10_ew1000_1.rgg, 0, 127204.0, 35.76377720001619
500_r0c14_nw10_ew1000_2.rgg, 0, 129772.0, 47.9813848999911
500_r0c14_nw10_ew1000_3.rgg, 0, 125183.0, 32.63438549998682
500_r0c14_nw10_ew1000_4.rgg, 0, 128372.0, 27.390516499988735
500_r0c14_nw10_ew1000_5.rgg, 0, 121444.0, 22.175672699988354
500_r0c14_nw10_ew1000_6.rgg, 0, 133398.0, 30.63620529999025
500_r0c14_nw10_ew1000_7.rgg, 0, 125597.0, 14.826318199979141
500_r0c14_nw10_ew1000_8.rgg, 0, 129858.0, 32.916039199975785
500_r0c14_nw10_ew1000_9.rgg, 0, 129411.0, 42.881973700015806
