instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0000,1.5745,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0000,1.4970,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0000,1.5601,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0000,1.4798,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0000,1.4050,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0000,1.8073,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0000,1.4381,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0000,2.0438,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0000,1.5452,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0000,1.4638,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14980.0000,1.3910,Clique_Size
500_r0c14_nw100_ew100_1.rgg,0,14742.0000,1.5949,Clique_Inverse_size
500_r0c14_nw100_ew100_2.rgg,0,15282.0000,1.9616,Clique_Inverse_size
500_r0c14_nw100_ew100_3.rgg,0,14729.0000,1.6734,Clique_Cost
500_r0c14_nw100_ew100_4.rgg,0,15122.0000,1.4492,Clique_Inverse_size
500_r0c14_nw100_ew100_5.rgg,0,14547.0000,1.5440,Clique_Cost
500_r0c14_nw100_ew100_6.rgg,0,14450.0000,1.7910,Clique_Inverse_size
500_r0c14_nw100_ew100_7.rgg,0,14325.0000,1.7861,Clique_Inverse_size
500_r0c14_nw100_ew100_8.rgg,0,14092.0000,1.7059,Clique_Cost
500_r0c14_nw100_ew100_9.rgg,0,14743.0000,1.6572,Clique_Inverse_size
500_r0c14_nw10_ew1000_0.rgg,0,122928.0000,1.9423,Clique_Cost
500_r0c14_nw10_ew1000_1.rgg,0,122608.0000,1.5045,Clique_Inverse_size
500_r0c14_nw10_ew1000_2.rgg,0,122735.0000,1.6768,Clique_Cost
500_r0c14_nw10_ew1000_3.rgg,0,125318.0000,1.6369,Clique_Cost
500_r0c14_nw10_ew1000_4.rgg,0,130109.0000,1.9637,Clique_Inverse_size
500_r0c14_nw10_ew1000_5.rgg,0,117402.0000,1.9637,Clique_Size
500_r0c14_nw10_ew1000_6.rgg,0,122255.0000,1.8448,Clique_Inverse_size
500_r0c14_nw10_ew1000_7.rgg,0,126718.0000,1.8675,Clique_Cost
500_r0c14_nw10_ew1000_8.rgg,0,123815.0000,2.1214,Clique_Cost
500_r0c14_nw10_ew1000_9.rgg,0,122054.0000,1.9780,Clique_Hub
