instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0000,1.4859,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0000,1.2446,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0000,1.1497,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0000,1.3481,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0000,1.2371,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0000,1.5261,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0000,1.3216,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0000,1.5464,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0000,1.2072,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0000,1.3628,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14575.0000,1.2685,Clique_Hub
500_r0c14_nw100_ew100_1.rgg,0,14354.0000,1.5901,Clique_Size
500_r0c14_nw100_ew100_2.rgg,0,15113.0000,1.7915,Clique_Inverse_size
500_r0c14_nw100_ew100_3.rgg,0,14532.0000,1.5528,Clique_Inverse_size
500_r0c14_nw100_ew100_4.rgg,0,14900.0000,1.7836,Clique_Size
500_r0c14_nw100_ew100_5.rgg,0,14863.0000,1.5189,Clique_Size
500_r0c14_nw100_ew100_6.rgg,0,14942.0000,1.7859,Clique_Cost
500_r0c14_nw100_ew100_7.rgg,0,14447.0000,1.5433,Clique_Inverse_size
500_r0c14_nw100_ew100_8.rgg,0,14135.0000,1.2565,Clique_Size
500_r0c14_nw100_ew100_9.rgg,0,15281.0000,1.4783,Clique_Hub
500_r0c14_nw10_ew1000_0.rgg,0,121988.0000,1.8114,Clique_Size
500_r0c14_nw10_ew1000_1.rgg,0,131070.0000,1.3153,Clique_Size
500_r0c14_nw10_ew1000_2.rgg,0,125815.0000,1.7352,Clique_Inverse_size
500_r0c14_nw10_ew1000_3.rgg,0,124025.0000,1.9581,Clique_Inverse_size
500_r0c14_nw10_ew1000_4.rgg,0,129187.0000,2.2269,Clique_Inverse_size
500_r0c14_nw10_ew1000_5.rgg,0,122611.0000,1.7806,Clique_Size
500_r0c14_nw10_ew1000_6.rgg,0,128331.0000,1.4511,Clique_Inverse_size
500_r0c14_nw10_ew1000_7.rgg,0,130285.0000,1.6001,Clique_Inverse_size
500_r0c14_nw10_ew1000_8.rgg,0,126974.0000,1.5593,Clique_Cost
500_r0c14_nw10_ew1000_9.rgg,0,124543.0000,1.7256,Clique_Size
