instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,9009.0000,0.1098
500_r0c14_nw1000_ew10_1.rgg,0,7384.0000,0.1516
500_r0c14_nw1000_ew10_2.rgg,0,7700.0000,0.1023
500_r0c14_nw1000_ew10_3.rgg,0,7019.0000,0.1088
500_r0c14_nw1000_ew10_4.rgg,0,9046.0000,0.1022
500_r0c14_nw1000_ew10_5.rgg,0,7696.0000,0.1087
500_r0c14_nw1000_ew10_6.rgg,0,7578.0000,0.1206
500_r0c14_nw1000_ew10_7.rgg,0,7182.0000,0.1467
500_r0c14_nw1000_ew10_8.rgg,0,8600.0000,0.1055
500_r0c14_nw1000_ew10_9.rgg,0,9515.0000,0.1472
500_r0c14_nw100_ew100_0.rgg,0,14777.0000,0.0918
500_r0c14_nw100_ew100_1.rgg,0,15145.0000,0.1110
500_r0c14_nw100_ew100_2.rgg,0,15089.0000,0.1136
500_r0c14_nw100_ew100_3.rgg,0,14520.0000,0.1197
500_r0c14_nw100_ew100_4.rgg,0,15183.0000,0.1212
500_r0c14_nw100_ew100_5.rgg,0,14585.0000,0.0935
500_r0c14_nw100_ew100_6.rgg,0,14383.0000,0.1650
500_r0c14_nw100_ew100_7.rgg,0,14500.0000,0.1494
500_r0c14_nw100_ew100_8.rgg,0,13675.0000,0.1472
500_r0c14_nw100_ew100_9.rgg,0,15193.0000,0.1201
500_r0c14_nw10_ew1000_0.rgg,0,122734.0000,0.1415
500_r0c14_nw10_ew1000_1.rgg,0,124028.0000,0.1189
500_r0c14_nw10_ew1000_2.rgg,0,118799.0000,0.1370
500_r0c14_nw10_ew1000_3.rgg,0,127992.0000,0.1161
500_r0c14_nw10_ew1000_4.rgg,0,128216.0000,0.1156
500_r0c14_nw10_ew1000_5.rgg,0,122480.0000,0.1262
500_r0c14_nw10_ew1000_6.rgg,0,126496.0000,0.1108
500_r0c14_nw10_ew1000_7.rgg,0,130371.0000,0.1713
500_r0c14_nw10_ew1000_8.rgg,0,126535.0000,0.1379
500_r0c14_nw10_ew1000_9.rgg,0,127948.0000,0.1363
