instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,5904.0000,0.1459
500_r0c14_nw1000_ew10_1.rgg,0,6557.0000,0.1297
500_r0c14_nw1000_ew10_2.rgg,0,5940.0000,0.1730
500_r0c14_nw1000_ew10_3.rgg,0,6840.0000,0.0970
500_r0c14_nw1000_ew10_4.rgg,0,6253.0000,0.1259
500_r0c14_nw1000_ew10_5.rgg,0,5507.0000,0.1534
500_r0c14_nw1000_ew10_6.rgg,0,7360.0000,0.1385
500_r0c14_nw1000_ew10_7.rgg,0,6210.0000,0.1073
500_r0c14_nw1000_ew10_8.rgg,0,5847.0000,0.1023
500_r0c14_nw1000_ew10_9.rgg,0,7562.0000,0.1206
500_r0c14_nw100_ew100_0.rgg,0,13575.0000,0.1496
500_r0c14_nw100_ew100_1.rgg,0,14580.0000,0.0918
500_r0c14_nw100_ew100_2.rgg,0,15439.0000,0.1846
500_r0c14_nw100_ew100_3.rgg,0,15216.0000,0.1404
500_r0c14_nw100_ew100_4.rgg,0,15232.0000,0.1446
500_r0c14_nw100_ew100_5.rgg,0,14447.0000,0.1377
500_r0c14_nw100_ew100_6.rgg,0,15198.0000,0.1108
500_r0c14_nw100_ew100_7.rgg,0,15045.0000,0.1538
500_r0c14_nw100_ew100_8.rgg,0,14492.0000,0.1607
500_r0c14_nw100_ew100_9.rgg,0,15160.0000,0.1360
500_r0c14_nw10_ew1000_0.rgg,0,131482.0000,0.1123
500_r0c14_nw10_ew1000_1.rgg,0,123666.0000,0.1384
500_r0c14_nw10_ew1000_2.rgg,0,124261.0000,0.1809
500_r0c14_nw10_ew1000_3.rgg,0,131817.0000,0.1394
500_r0c14_nw10_ew1000_4.rgg,0,127895.0000,0.1219
500_r0c14_nw10_ew1000_5.rgg,0,121365.0000,0.1327
500_r0c14_nw10_ew1000_6.rgg,0,136626.0000,0.1146
500_r0c14_nw10_ew1000_7.rgg,0,131083.0000,0.1328
500_r0c14_nw10_ew1000_8.rgg,0,127948.0000,0.1136
500_r0c14_nw10_ew1000_9.rgg,0,131087.0000,0.1404
