instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,1.1738,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,1.2745,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,1.3750,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,0.8942,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,1.3386,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,1.3800,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,1.1658,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,1.3139,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,0.9421,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,1.2042,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14519.0,1.1860,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14440.0,1.4266,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,15305.0,1.3724,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14552.0,1.2101,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14544.0,1.4147,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14508.0,1.4513,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,14132.0,1.6970,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14558.0,1.2196,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,14449.0,1.1709,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,14445.0,1.4565,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,126864.0,1.4785,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,122277.0,1.3144,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,125985.0,1.4941,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,125567.0,1.4489,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,120580.0,1.3806,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,121444.0,1.4338,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,125708.0,1.3041,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,126591.0,1.6693,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,123504.0,1.6296,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,127823.0,1.8886,Shift_Full
