instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,0.8234,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,1.0441,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,1.3219,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,0.8453,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,0.9549,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,0.8997,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,1.0466,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,1.0336,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,1.0544,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,1.0287,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14329.0,1.3143,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14543.0,1.3597,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,14685.0,1.3021,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14004.0,1.4095,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14965.0,1.2881,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14796.0,1.3374,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,15223.0,1.5147,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14848.0,1.1157,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,14416.0,1.1244,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,14937.0,1.1531,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,123531.0,2.0990,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,121999.0,0.8666,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,123674.0,1.3897,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,120128.0,1.3599,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,133296.0,1.4259,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,123312.0,1.7177,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,126173.0,1.6781,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,128871.0,1.4320,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,123599.0,1.4353,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,128104.0,1.6367,Shift_Full
