instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,7157.0000,0.4545
500_r0c14_nw1000_ew10_1.rgg,0,6585.0000,0.4781
500_r0c14_nw1000_ew10_2.rgg,0,7700.0000,0.4271
500_r0c14_nw1000_ew10_3.rgg,0,7019.0000,0.4296
500_r0c14_nw1000_ew10_4.rgg,0,6432.0000,0.5265
500_r0c14_nw1000_ew10_5.rgg,0,6220.0000,0.4437
500_r0c14_nw1000_ew10_6.rgg,0,7392.0000,0.4311
500_r0c14_nw1000_ew10_7.rgg,0,5354.0000,0.4348
500_r0c14_nw1000_ew10_8.rgg,0,6023.0000,0.4691
500_r0c14_nw1000_ew10_9.rgg,0,9515.0000,0.4113
500_r0c14_nw100_ew100_0.rgg,0,14397.0000,0.4784
500_r0c14_nw100_ew100_1.rgg,0,14440.0000,0.4843
500_r0c14_nw100_ew100_2.rgg,0,14916.0000,0.4908
500_r0c14_nw100_ew100_3.rgg,0,14520.0000,0.4274
500_r0c14_nw100_ew100_4.rgg,0,14532.0000,0.5031
500_r0c14_nw100_ew100_5.rgg,0,14313.0000,0.5312
500_r0c14_nw100_ew100_6.rgg,0,14383.0000,0.6109
500_r0c14_nw100_ew100_7.rgg,0,14500.0000,0.5814
500_r0c14_nw100_ew100_8.rgg,0,13872.0000,0.6331
500_r0c14_nw100_ew100_9.rgg,0,15002.0000,0.5818
500_r0c14_nw10_ew1000_0.rgg,0,122734.0000,0.6115
500_r0c14_nw10_ew1000_1.rgg,0,124028.0000,0.6664
500_r0c14_nw10_ew1000_2.rgg,0,118799.0000,0.6058
500_r0c14_nw10_ew1000_3.rgg,0,125530.0000,0.7295
500_r0c14_nw10_ew1000_4.rgg,0,119132.0000,0.6232
500_r0c14_nw10_ew1000_5.rgg,0,122480.0000,0.6168
500_r0c14_nw10_ew1000_6.rgg,0,123731.0000,0.5629
500_r0c14_nw10_ew1000_7.rgg,0,124701.0000,0.6469
500_r0c14_nw10_ew1000_8.rgg,0,126535.0000,0.4693
500_r0c14_nw10_ew1000_9.rgg,0,124344.0000,0.5333
