instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,5438.0000,0.5475
500_r0c14_nw1000_ew10_1.rgg,0,6189.0000,0.6385
500_r0c14_nw1000_ew10_2.rgg,0,6021.0000,0.5036
500_r0c14_nw1000_ew10_3.rgg,0,6147.0000,0.4963
500_r0c14_nw1000_ew10_4.rgg,0,6472.0000,0.5064
500_r0c14_nw1000_ew10_5.rgg,0,5153.0000,0.6287
500_r0c14_nw1000_ew10_6.rgg,0,5653.0000,0.6051
500_r0c14_nw1000_ew10_7.rgg,0,5062.0000,0.5492
500_r0c14_nw1000_ew10_8.rgg,0,6063.0000,0.5114
500_r0c14_nw1000_ew10_9.rgg,0,6228.0000,0.5144
500_r0c14_nw100_ew100_0.rgg,0,14114.0000,0.5113
500_r0c14_nw100_ew100_1.rgg,0,13989.0000,0.5812
500_r0c14_nw100_ew100_2.rgg,0,15142.0000,0.5151
500_r0c14_nw100_ew100_3.rgg,0,14390.0000,0.5254
500_r0c14_nw100_ew100_4.rgg,0,14471.0000,0.5961
500_r0c14_nw100_ew100_5.rgg,0,14422.0000,0.5389
500_r0c14_nw100_ew100_6.rgg,0,14974.0000,0.5031
500_r0c14_nw100_ew100_7.rgg,0,14129.0000,0.6909
500_r0c14_nw100_ew100_8.rgg,0,13634.0000,0.5065
500_r0c14_nw100_ew100_9.rgg,0,14165.0000,0.5201
500_r0c14_nw10_ew1000_0.rgg,0,122222.0000,0.5970
500_r0c14_nw10_ew1000_1.rgg,0,124261.0000,0.6059
500_r0c14_nw10_ew1000_2.rgg,0,126835.0000,0.5030
500_r0c14_nw10_ew1000_3.rgg,0,121724.0000,0.5755
500_r0c14_nw10_ew1000_4.rgg,0,123730.0000,0.6425
500_r0c14_nw10_ew1000_5.rgg,0,122175.0000,0.5663
500_r0c14_nw10_ew1000_6.rgg,0,128285.0000,0.5482
500_r0c14_nw10_ew1000_7.rgg,0,126400.0000,0.5495
500_r0c14_nw10_ew1000_8.rgg,0,123329.0000,0.5887
500_r0c14_nw10_ew1000_9.rgg,0,124973.0000,0.5255
