instance,num_incorrect,cost,time,winner
1000_r0c14_nw1000_ew10_0.rgg,0,5682.0000,9.9345,LP_Rounding
1000_r0c14_nw1000_ew10_1.rgg,0,6677.0000,10.1460,LP_Rounding
1000_r0c14_nw1000_ew10_2.rgg,0,6441.0000,10.0650,LP_Rounding
1000_r0c14_nw1000_ew10_3.rgg,0,5856.0000,9.8373,LP_Rounding
1000_r0c14_nw1000_ew10_4.rgg,0,6290.0000,11.0109,LP_Rounding
1000_r0c14_nw1000_ew10_5.rgg,0,5895.0000,9.4939,LP_Rounding
1000_r0c14_nw1000_ew10_6.rgg,0,5798.0000,9.9368,LP_Rounding
1000_r0c14_nw1000_ew10_7.rgg,0,6695.0000,10.0959,LP_Rounding
1000_r0c14_nw1000_ew10_8.rgg,0,5717.0000,9.6851,LP_Rounding
1000_r0c14_nw1000_ew10_9.rgg,0,6076.0000,9.5706,LP_Rounding
1000_r0c14_nw100_ew100_0.rgg,0,28846.0000,9.9366,Clique_Size
1000_r0c14_nw100_ew100_1.rgg,0,29060.0000,10.0164,Clique_Size
1000_r0c14_nw100_ew100_2.rgg,0,28543.0000,9.9215,Clique_Cost
1000_r0c14_nw100_ew100_3.rgg,0,28880.0000,10.4288,Clique_Size
1000_r0c14_nw100_ew100_4.rgg,0,29260.0000,9.2748,Clique_Size
1000_r0c14_nw100_ew100_5.rgg,0,28658.0000,10.1835,Clique_Size
1000_r0c14_nw100_ew100_6.rgg,0,27591.0000,10.0319,Clique_Cost
1000_r0c14_nw100_ew100_7.rgg,0,28881.0000,10.8929,Clique_Size
1000_r0c14_nw100_ew100_8.rgg,0,29424.0000,10.8280,Clique_Size
1000_r0c14_nw100_ew100_9.rgg,0,28567.0000,10.1793,Clique_Size
1000_r0c14_nw10_ew1000_0.rgg,0,261162.0000,10.0735,Clique_Size
1000_r0c14_nw10_ew1000_1.rgg,0,260565.0000,10.1168,Clique_Cost
1000_r0c14_nw10_ew1000_2.rgg,0,253602.0000,10.3118,Clique_Size
1000_r0c14_nw10_ew1000_3.rgg,0,274594.0000,10.3961,Clique_Size
1000_r0c14_nw10_ew1000_4.rgg,0,264363.0000,10.8343,Clique_Size
1000_r0c14_nw10_ew1000_5.rgg,0,267899.0000,10.8718,Clique_Size
1000_r0c14_nw10_ew1000_6.rgg,0,270196.0000,10.4331,Clique_Size
1000_r0c14_nw10_ew1000_7.rgg,0,268931.0000,10.0542,Clique_Size
1000_r0c14_nw10_ew1000_8.rgg,0,254746.0000,10.4555,Clique_Size
1000_r0c14_nw10_ew1000_9.rgg,0,251031.0000,10.4850,Clique_Size
