instance,num_incorrect,cost,time,winner
2000_r0c14_nw1000_ew10_0.rgg,0,10174.0000,43.5110,Clique_Inverse_size
2000_r0c14_nw1000_ew10_1.rgg,0,9638.0000,43.0467,LP_Rounding
2000_r0c14_nw1000_ew10_2.rgg,0,9711.0000,46.4841,LP_Rounding
2000_r0c14_nw1000_ew10_3.rgg,0,9742.0000,43.8411,Clique_Cost
2000_r0c14_nw1000_ew10_4.rgg,0,9882.0000,44.6668,LP_Rounding
2000_r0c14_nw1000_ew10_5.rgg,0,9885.0000,45.2476,LP_Rounding
2000_r0c14_nw1000_ew10_6.rgg,0,9213.0000,43.1477,Clique_Cost
2000_r0c14_nw1000_ew10_7.rgg,0,9434.0000,41.5671,LP_Rounding
2000_r0c14_nw1000_ew10_8.rgg,0,9714.0000,44.0086,LP_Rounding
2000_r0c14_nw1000_ew10_9.rgg,0,9425.0000,41.1537,LP_Rounding
2000_r0c14_nw100_ew100_0.rgg,0,54987.0000,42.8991,Clique_Inverse_size
2000_r0c14_nw100_ew100_1.rgg,0,55960.0000,38.5066,Clique_Size
2000_r0c14_nw100_ew100_2.rgg,0,53652.0000,42.2605,Clique_Size
2000_r0c14_nw100_ew100_3.rgg,0,55115.0000,40.5383,Clique_Hub
2000_r0c14_nw100_ew100_4.rgg,0,54258.0000,40.8313,Clique_Size
2000_r0c14_nw100_ew100_5.rgg,0,56330.0000,36.9510,Clique_Size
2000_r0c14_nw100_ew100_6.rgg,0,54821.0000,37.1456,Clique_Hub
2000_r0c14_nw100_ew100_7.rgg,0,53988.0000,38.2683,Clique_Cost
2000_r0c14_nw100_ew100_8.rgg,0,54849.0000,40.0606,Clique_Cost
2000_r0c14_nw100_ew100_9.rgg,0,55464.0000,46.6838,Clique_Hub
2000_r0c14_nw10_ew1000_0.rgg,0,512747.0000,40.8713,Clique_Inverse_size
2000_r0c14_nw10_ew1000_1.rgg,0,530045.0000,41.8405,Clique_Hub
2000_r0c14_nw10_ew1000_2.rgg,0,528699.0000,43.8149,Clique_Size
2000_r0c14_nw10_ew1000_3.rgg,0,529983.0000,43.7022,Clique_Cost
2000_r0c14_nw10_ew1000_4.rgg,0,523998.0000,41.6152,Clique_Cost
2000_r0c14_nw10_ew1000_5.rgg,0,517961.0000,41.4000,Clique_Cost
2000_r0c14_nw10_ew1000_6.rgg,0,516307.0000,45.6647,Clique_Size
2000_r0c14_nw10_ew1000_7.rgg,0,534142.0000,46.0805,Clique_Inverse_size
2000_r0c14_nw10_ew1000_8.rgg,0,517556.0000,47.7899,Clique_Inverse_size
2000_r0c14_nw10_ew1000_9.rgg,0,517042.0000,42.1309,Clique_Cost
