instance,num_incorrect,cost,time,winner
2000_r0c14_nw1000_ew10_0.rgg,0,9948.0,16.6609,Shift_Full
2000_r0c14_nw1000_ew10_1.rgg,0,9638.0,16.7736,LP_Rounding
2000_r0c14_nw1000_ew10_2.rgg,0,9711.0,13.0935,LP_Rounding
2000_r0c14_nw1000_ew10_3.rgg,0,9978.0,13.5885,LP_Rounding
2000_r0c14_nw1000_ew10_4.rgg,0,9882.0,16.1466,LP_Rounding
2000_r0c14_nw1000_ew10_5.rgg,0,9885.0,16.5794,LP_Rounding
2000_r0c14_nw1000_ew10_6.rgg,0,9377.0,14.7913,LP_Rounding
2000_r0c14_nw1000_ew10_7.rgg,0,9434.0,15.6681,LP_Rounding
2000_r0c14_nw1000_ew10_8.rgg,0,9714.0,13.3327,LP_Rounding
2000_r0c14_nw1000_ew10_9.rgg,0,9425.0,12.0366,LP_Rounding
2000_r0c14_nw100_ew100_0.rgg,0,55003.0,13.8873,Shift_Full
2000_r0c14_nw100_ew100_1.rgg,0,54714.0,12.6560,Shift_Full
2000_r0c14_nw100_ew100_2.rgg,0,54140.0,14.5867,Shift_Full
2000_r0c14_nw100_ew100_3.rgg,0,55574.0,14.9747,Shift_Full
2000_r0c14_nw100_ew100_4.rgg,0,55462.0,15.5597,Shift_Full
2000_r0c14_nw100_ew100_5.rgg,0,55333.0,11.9377,Shift_Full
2000_r0c14_nw100_ew100_6.rgg,0,55732.0,9.4152,Shift_Full
2000_r0c14_nw100_ew100_7.rgg,0,54867.0,13.1414,Shift_Full
2000_r0c14_nw100_ew100_8.rgg,0,56274.0,12.7816,Shift_Full
2000_r0c14_nw100_ew100_9.rgg,0,54117.0,15.2355,Shift_Full
2000_r0c14_nw10_ew1000_0.rgg,0,529219.0,14.4563,Shift_Full
2000_r0c14_nw10_ew1000_1.rgg,0,527401.0,18.2171,Shift_Full
2000_r0c14_nw10_ew1000_2.rgg,0,508628.0,17.8290,Shift_Full
2000_r0c14_nw10_ew1000_3.rgg,0,523483.0,16.9695,Shift_Full
2000_r0c14_nw10_ew1000_4.rgg,0,527895.0,16.3810,Shift_Full
2000_r0c14_nw10_ew1000_5.rgg,0,510221.0,16.3170,Shift_Full
2000_r0c14_nw10_ew1000_6.rgg,0,514528.0,17.2329,Shift_Full
2000_r0c14_nw10_ew1000_7.rgg,0,524352.0,19.3070,Shift_Full
2000_r0c14_nw10_ew1000_8.rgg,0,524912.0,16.0158,Shift_Full
2000_r0c14_nw10_ew1000_9.rgg,0,529073.0,17.1454,Shift_Full
