instance,num_incorrect,cost,time,winner
5000_r0c14_nw1000_ew10_0.rgg,0,20882.0000,2338.1687,Clique_Size
5000_r0c14_nw1000_ew10_1.rgg,0,21270.0000,2362.5712,LP_Rounding
5000_r0c14_nw1000_ew10_2.rgg,0,20594.0000,2432.7023,Clique_Size
5000_r0c14_nw1000_ew10_3.rgg,0,21366.0000,2490.5301,LP_Rounding
5000_r0c14_nw1000_ew10_4.rgg,0,21150.0000,2478.3620,Clique_Size
5000_r0c14_nw1000_ew10_5.rgg,0,20535.0000,2457.3077,Clique_Size
5000_r0c14_nw1000_ew10_6.rgg,0,20578.0000,1875.7182,Clique_Size
5000_r0c14_nw1000_ew10_7.rgg,0,20065.0000,1727.2407,Clique_Size
5000_r0c14_nw1000_ew10_8.rgg,0,21318.0000,1683.0929,LP_Rounding
5000_r0c14_nw1000_ew10_9.rgg,0,20454.0000,1588.6736,Clique_Size
5000_r0c14_nw100_ew100_0.rgg,0,135644.0000,1741.1058,Clique_Size
5000_r0c14_nw100_ew100_1.rgg,0,140125.0000,2147.6646,Clique_Size
5000_r0c14_nw100_ew100_2.rgg,0,139154.0000,2621.1994,Clique_Size
5000_r0c14_nw100_ew100_3.rgg,0,142504.0000,1747.1354,Clique_Size
5000_r0c14_nw100_ew100_4.rgg,0,138158.0000,1685.9098,Clique_Size
5000_r0c14_nw100_ew100_5.rgg,0,139056.0000,2562.6084,Clique_Size
5000_r0c14_nw100_ew100_6.rgg,0,145403.0000,2485.5817,Clique_Size
5000_r0c14_nw100_ew100_7.rgg,0,138197.0000,2486.5369,Clique_Size
5000_r0c14_nw100_ew100_8.rgg,0,137002.0000,2600.8424,Clique_Size
5000_r0c14_nw100_ew100_9.rgg,0,141355.0000,2651.1712,Clique_Size
5000_r0c14_nw10_ew1000_0.rgg,0,1343862.0000,2579.5805,Clique_Size
5000_r0c14_nw10_ew1000_1.rgg,0,1337850.0000,2532.1139,Clique_Size
5000_r0c14_nw10_ew1000_2.rgg,0,1355403.0000,2501.2673,Clique_Size
5000_r0c14_nw10_ew1000_3.rgg,0,1324239.0000,2570.3124,Clique_Size
5000_r0c14_nw10_ew1000_4.rgg,0,1359930.0000,2502.6438,Clique_Size
5000_r0c14_nw10_ew1000_5.rgg,0,1355303.0000,2506.2829,Clique_Size
5000_r0c14_nw10_ew1000_6.rgg,0,1365794.0000,2425.6364,Clique_Size
5000_r0c14_nw10_ew1000_7.rgg,0,1365150.0000,2496.8579,Clique_Size
5000_r0c14_nw10_ew1000_8.rgg,0,1367672.0000,2482.1733,Clique_Size
5000_r0c14_nw10_ew1000_9.rgg,0,1357665.0000,2513.2523,Clique_Size
