instance,num_incorrect,cost,time
5000_r0c14_nw1000_ew10_0.rgg,0,21135,14.2383
5000_r0c14_nw1000_ew10_1.rgg,0,20585,14.0636
5000_r0c14_nw1000_ew10_2.rgg,0,21540,14.6502
5000_r0c14_nw1000_ew10_3.rgg,0,21950,16.8987
5000_r0c14_nw1000_ew10_4.rgg,0,22210,19.3870
5000_r0c14_nw1000_ew10_5.rgg,0,21342,18.4658
5000_r0c14_nw1000_ew10_6.rgg,0,20934,19.9038
5000_r0c14_nw1000_ew10_7.rgg,0,21686,18.5282
5000_r0c14_nw1000_ew10_8.rgg,0,21467,18.4027
5000_r0c14_nw1000_ew10_9.rgg,0,21259,18.2146
5000_r0c14_nw100_ew100_0.rgg,0,167262,19.1428
5000_r0c14_nw100_ew100_1.rgg,0,158799,16.6539
5000_r0c14_nw100_ew100_2.rgg,0,162570,16.3929
5000_r0c14_nw100_ew100_3.rgg,0,155702,16.0340
5000_r0c14_nw100_ew100_4.rgg,0,157325,15.7469
5000_r0c14_nw100_ew100_5.rgg,0,162518,15.9663
5000_r0c14_nw100_ew100_6.rgg,0,159209,18.9191
5000_r0c14_nw100_ew100_7.rgg,0,158224,19.4448
5000_r0c14_nw100_ew100_8.rgg,0,158880,19.1738
5000_r0c14_nw100_ew100_9.rgg,0,159367,18.7729
5000_r0c14_nw10_ew1000_0.rgg,0,1661588,20.9336
5000_r0c14_nw10_ew1000_1.rgg,0,1595071,20.3791
5000_r0c14_nw10_ew1000_2.rgg,0,1539656,19.5795
5000_r0c14_nw10_ew1000_3.rgg,0,1508503,18.5410
5000_r0c14_nw10_ew1000_4.rgg,0,1599728,16.9543
5000_r0c14_nw10_ew1000_5.rgg,0,1565141,16.9879
5000_r0c14_nw10_ew1000_6.rgg,0,1595375,16.4829
5000_r0c14_nw10_ew1000_7.rgg,0,1605539,16.6428
5000_r0c14_nw10_ew1000_8.rgg,0,1597422,18.2130
5000_r0c14_nw10_ew1000_9.rgg,0,1590258,20.0678
