instance,num_incorrect,cost,time,winner
5000_r0c14_nw1000_ew10_0.rgg,0,20110.0,115.7473,Shift_Full
5000_r0c14_nw1000_ew10_1.rgg,0,20686.0,90.5208,Shift_Full
5000_r0c14_nw1000_ew10_2.rgg,0,20138.0,94.7820,Shift_Full
5000_r0c14_nw1000_ew10_3.rgg,0,20575.0,121.7199,Shift_Full
5000_r0c14_nw1000_ew10_4.rgg,0,20903.0,110.8182,Shift_Full
5000_r0c14_nw1000_ew10_5.rgg,0,21090.0,96.2263,Shift_Full
5000_r0c14_nw1000_ew10_6.rgg,0,21005.0,68.5675,Shift_Full
5000_r0c14_nw1000_ew10_7.rgg,0,20093.0,111.1543,Shift_Full
5000_r0c14_nw1000_ew10_8.rgg,0,20929.0,93.6830,Shift_Full
5000_r0c14_nw1000_ew10_9.rgg,0,20768.0,80.8959,Shift_Full
5000_r0c14_nw100_ew100_0.rgg,0,138333.0,142.8844,Shift_Full
5000_r0c14_nw100_ew100_1.rgg,0,140014.0,95.1051,Shift_Full
5000_r0c14_nw100_ew100_2.rgg,0,139927.0,143.3490,Shift_Full
5000_r0c14_nw100_ew100_3.rgg,0,137113.0,120.4568,Shift_Full
5000_r0c14_nw100_ew100_4.rgg,0,137272.0,114.8567,Shift_Full
5000_r0c14_nw100_ew100_5.rgg,0,139090.0,71.8902,Shift_Full
5000_r0c14_nw100_ew100_6.rgg,0,138913.0,72.3896,Shift_Full
5000_r0c14_nw100_ew100_7.rgg,0,137045.0,120.3299,Shift_Full
5000_r0c14_nw100_ew100_8.rgg,0,134101.0,140.5472,Shift_Full
5000_r0c14_nw100_ew100_9.rgg,0,134387.0,127.9158,Shift_Full
5000_r0c14_nw10_ew1000_0.rgg,0,1341985.0,160.9820,Shift_Full
5000_r0c14_nw10_ew1000_1.rgg,0,1339198.0,181.4188,Shift_Full
5000_r0c14_nw10_ew1000_2.rgg,0,1327731.0,162.3717,Shift_Full
5000_r0c14_nw10_ew1000_3.rgg,0,1341453.0,162.0293,Shift_Full
5000_r0c14_nw10_ew1000_4.rgg,0,1347677.0,175.3989,Shift_Full
5000_r0c14_nw10_ew1000_5.rgg,0,1319880.0,168.6613,Shift_Full
5000_r0c14_nw10_ew1000_6.rgg,0,1328462.0,170.6528,Shift_Full
5000_r0c14_nw10_ew1000_7.rgg,0,1314218.0,168.1995,Shift_Full
5000_r0c14_nw10_ew1000_8.rgg,0,1324558.0,171.7270,Shift_Full
5000_r0c14_nw10_ew1000_9.rgg,0,1330500.0,161.2867,Shift_Full
