instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,0.6342,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,0.7754,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,0.8440,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,0.6525,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,0.7281,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,0.7940,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,0.8791,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,0.6870,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,0.7352,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,0.7821,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14342.0,0.6329,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14485.0,0.8431,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,14824.0,0.7853,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14541.0,0.7477,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14359.0,0.7378,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14429.0,0.7879,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,14804.0,0.8540,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14289.0,0.5836,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,13750.0,0.7046,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,15035.0,0.7412,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,121269.0,0.9090,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,126995.0,0.5134,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,119697.0,0.7163,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,122087.0,0.9067,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,129902.0,0.8448,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,124101.0,0.7671,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,126790.0,0.6422,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,118248.0,0.5600,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,123553.0,0.7154,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,125678.0,0.8886,Shift_Full
