N,Algorithm,Score,Time,Cost
500,grid_heuristic,node_only,0.7075600000000001,47986.066666666666
500,grid_heuristic,edge_aware_min,0.77419,47690.4
500,grid_heuristic,edge_aware_sum,0.7464399999999998,47773.26666666667
500,clique_heuristic,node_only,0.95381,47950.3
500,clique_heuristic,edge_aware_min,1.7105966666666665,48637.76666666667
500,clique_heuristic,edge_aware_sum,1.6947366666666668,48684.433333333334
500,Baseline,GreedyNew,0.12100666666666669,54162.13333333333
1000,grid_heuristic,node_only,2.8319866666666664,97719.2
1000,grid_heuristic,edge_aware_min,3.1482233333333336,96315.63333333333
1000,grid_heuristic,edge_aware_sum,3.2061833333333336,96924.63333333333
1000,clique_heuristic,node_only,4.45958,96537.23333333334
1000,clique_heuristic,edge_aware_min,10.64805,99197.53333333334
1000,clique_heuristic,edge_aware_sum,10.183393333333333,99197.53333333334
1000,Baseline,GreedyNew,0.50148,109685.6
2000,grid_heuristic,node_only,11.96583,197412.43333333332
2000,grid_heuristic,edge_aware_min,15.090599999999998,195597.33333333334
2000,grid_heuristic,edge_aware_sum,14.915436666666663,196715.8
2000,clique_heuristic,node_only,42.52432,195824.06666666668
2000,clique_heuristic,edge_aware_min,92.27718333333334,198217.06666666668
2000,clique_heuristic,edge_aware_sum,91.92226000000001,198217.06666666668
2000,Baseline,GreedyNew,2.2367966666666663,222874.86666666667
5000,grid_heuristic,node_only,127.21893000000001,496605.13333333336
5000,grid_heuristic,edge_aware_min,173.7509733333333,493112.6
5000,grid_heuristic,edge_aware_sum,165.5188433333333,498145.86666666664
5000,clique_heuristic,node_only,3714.791213333333,499636.93333333335
5000,clique_heuristic,edge_aware_min,2309.1414566666663,504589.26666666666
5000,clique_heuristic,edge_aware_sum,2431.6894233333337,504589.26666666666
5000,Baseline,GreedyNew,17.792740000000002,589074.8333333334
