instance,num_incorrect,cost,time,winner
5000_r0c0443_nw1000_ew10_0.rgg,0,52215.0000,258.6529,LP_Rounding
5000_r0c0443_nw1000_ew10_1.rgg,0,48391.0000,256.8789,LP_Rounding
5000_r0c0443_nw1000_ew10_2.rgg,0,52241.0000,258.8773,LP_Rounding
5000_r0c0443_nw1000_ew10_3.rgg,0,54349.0000,245.8886,LP_Rounding
5000_r0c0443_nw1000_ew10_4.rgg,0,51113.0000,246.6419,LP_Rounding
5000_r0c0443_nw1000_ew10_5.rgg,0,52614.0000,275.5746,LP_Rounding
5000_r0c0443_nw1000_ew10_6.rgg,0,48211.0000,301.2541,LP_Rounding
5000_r0c0443_nw1000_ew10_7.rgg,0,50755.0000,322.7927,LP_Rounding
5000_r0c0443_nw1000_ew10_8.rgg,0,50427.0000,296.6530,LP_Rounding
5000_r0c0443_nw1000_ew10_9.rgg,0,52304.0000,280.8691,LP_Rounding
5000_r0c0443_nw100_ew100_0.rgg,0,145117.0000,345.5838,Clique_Cost
5000_r0c0443_nw100_ew100_1.rgg,0,144715.0000,353.3219,Clique_Size
5000_r0c0443_nw100_ew100_2.rgg,0,143548.0000,314.9623,Clique_Size
5000_r0c0443_nw100_ew100_3.rgg,0,146269.0000,330.7193,Clique_Hub
5000_r0c0443_nw100_ew100_4.rgg,0,144355.0000,324.4727,Clique_Size
5000_r0c0443_nw100_ew100_5.rgg,0,145544.0000,319.0153,Clique_Inverse_size
5000_r0c0443_nw100_ew100_6.rgg,0,143633.0000,344.2920,Clique_Inverse_size
5000_r0c0443_nw100_ew100_7.rgg,0,142823.0000,320.9449,Clique_Inverse_size
5000_r0c0443_nw100_ew100_8.rgg,0,144579.0000,328.7963,Clique_Size
5000_r0c0443_nw100_ew100_9.rgg,0,143491.0000,343.9864,Clique_Cost
5000_r0c0443_nw10_ew1000_0.rgg,0,1271925.0000,312.8030,Clique_Inverse_size
5000_r0c0443_nw10_ew1000_1.rgg,0,1245168.0000,344.2910,Clique_Inverse_size
5000_r0c0443_nw10_ew1000_2.rgg,0,1272920.0000,328.6276,Clique_Inverse_size
5000_r0c0443_nw10_ew1000_3.rgg,0,1273555.0000,280.7733,Clique_Size
5000_r0c0443_nw10_ew1000_4.rgg,0,1255913.0000,286.1665,Clique_Size
5000_r0c0443_nw10_ew1000_5.rgg,0,1295685.0000,313.4628,Clique_Hub
5000_r0c0443_nw10_ew1000_6.rgg,0,1248236.0000,279.3627,Clique_Size
5000_r0c0443_nw10_ew1000_7.rgg,0,1277593.0000,334.5844,Clique_Cost
5000_r0c0443_nw10_ew1000_8.rgg,0,1266536.0000,317.8941,Clique_Cost
5000_r0c0443_nw10_ew1000_9.rgg,0,1288089.0000,386.4460,Clique_Cost
