instance,num_incorrect,cost,time,winner
5000_r0c0443_nw1000_ew10_0.rgg,0,52215.0,87.2949,LP_Rounding
5000_r0c0443_nw1000_ew10_1.rgg,0,48391.0,81.5770,LP_Rounding
5000_r0c0443_nw1000_ew10_2.rgg,0,52241.0,81.4713,LP_Rounding
5000_r0c0443_nw1000_ew10_3.rgg,0,54349.0,85.8289,LP_Rounding
5000_r0c0443_nw1000_ew10_4.rgg,0,51113.0,78.0569,LP_Rounding
5000_r0c0443_nw1000_ew10_5.rgg,0,52614.0,85.4744,LP_Rounding
5000_r0c0443_nw1000_ew10_6.rgg,0,48211.0,82.6107,LP_Rounding
5000_r0c0443_nw1000_ew10_7.rgg,0,50755.0,84.3150,LP_Rounding
5000_r0c0443_nw1000_ew10_8.rgg,0,50427.0,90.0050,LP_Rounding
5000_r0c0443_nw1000_ew10_9.rgg,0,52304.0,86.9365,LP_Rounding
5000_r0c0443_nw100_ew100_0.rgg,0,144377.0,101.9782,Shift_Full
5000_r0c0443_nw100_ew100_1.rgg,0,144591.0,111.0324,Shift_Full
5000_r0c0443_nw100_ew100_2.rgg,0,142966.0,93.2204,Shift_Full
5000_r0c0443_nw100_ew100_3.rgg,0,145076.0,100.8938,Shift_Full
5000_r0c0443_nw100_ew100_4.rgg,0,145557.0,105.3828,Shift_Full
5000_r0c0443_nw100_ew100_5.rgg,0,146968.0,104.1325,Shift_Full
5000_r0c0443_nw100_ew100_6.rgg,0,145251.0,105.7864,Shift_Full
5000_r0c0443_nw100_ew100_7.rgg,0,144754.0,102.2687,Shift_Full
5000_r0c0443_nw100_ew100_8.rgg,0,145354.0,103.2745,Shift_Full
5000_r0c0443_nw100_ew100_9.rgg,0,144576.0,105.4658,Shift_Full
5000_r0c0443_nw10_ew1000_0.rgg,0,1268609.0,104.0843,Shift_Full
5000_r0c0443_nw10_ew1000_1.rgg,0,1260699.0,114.9292,Shift_Full
5000_r0c0443_nw10_ew1000_2.rgg,0,1259901.0,107.7146,Shift_Full
5000_r0c0443_nw10_ew1000_3.rgg,0,1260321.0,103.3807,Shift_Full
5000_r0c0443_nw10_ew1000_4.rgg,0,1269969.0,112.8993,Shift_Full
5000_r0c0443_nw10_ew1000_5.rgg,0,1268406.0,109.4289,Shift_Full
5000_r0c0443_nw10_ew1000_6.rgg,0,1273473.0,98.0889,Shift_Full
5000_r0c0443_nw10_ew1000_7.rgg,0,1286751.0,125.8195,Shift_Full
5000_r0c0443_nw10_ew1000_8.rgg,0,1277679.0,107.0099,Shift_Full
5000_r0c0443_nw10_ew1000_9.rgg,0,1260226.0,116.4377,Shift_Full
