instance,GREEDY-NEW,Cross_LS,Shift_Full,Shift_Full_LP,SA_smart,GRASP,LP_Rounding
500_r0c14_nw1000_ew10_0.rgg,8148,8715.0,7814.0,4571.0,7607.0,4819,4571.0
500_r0c14_nw1000_ew10_1.rgg,7723,7586.0,6876.0,5380.0,7781.0,5686,5345.0
500_r0c14_nw1000_ew10_2.rgg,6313,7700.0,7700.0,5144.0,6319.0,5428,4937.0
500_r0c14_nw1000_ew10_3.rgg,6659,7019.0,7019.0,4677.0,7441.0,5278,4772.0
500_r0c14_nw1000_ew10_4.rgg,8308,9046.0,6432.0,4917.0,9000.0,5275,4982.0
500_r0c14_nw1000_ew10_5.rgg,6599,7696.0,6378.0,5154.0,7453.0,5199,4967.0
500_r0c14_nw1000_ew10_6.rgg,8174,7578.0,7392.0,5233.0,7168.0,5817,5075.0
500_r0c14_nw1000_ew10_7.rgg,5699,7182.0,5354.0,4328.0,6217.0,4590,4433.0
500_r0c14_nw1000_ew10_8.rgg,6113,8600.0,6594.0,5039.0,9309.0,5175,5036.0
500_r0c14_nw1000_ew10_9.rgg,8107,9327.0,9327.0,5622.0,8922.0,6987,5551.0
500_r0c14_nw100_ew100_0.rgg,16067,14974.0,14673.0,14673.0,14161.0,14486,19125.0
500_r0c14_nw100_ew100_1.rgg,15748,14869.0,14555.0,14555.0,14716.0,14530,17683.0
500_r0c14_nw100_ew100_2.rgg,16985,15305.0,15215.0,15215.0,15465.0,15435,18862.0
500_r0c14_nw100_ew100_3.rgg,15617,14552.0,14552.0,14552.0,14025.0,14251,18572.0
500_r0c14_nw100_ew100_4.rgg,15204,15159.0,14480.0,14480.0,15063.0,14634,17988.0
500_r0c14_nw100_ew100_5.rgg,16066,14508.0,14508.0,14508.0,14396.0,14720,17858.0
500_r0c14_nw100_ew100_6.rgg,15389,14132.0,14132.0,14132.0,14286.0,14657,18751.0
500_r0c14_nw100_ew100_7.rgg,15732,14650.0,14395.0,14395.0,14744.0,14760,18240.0
500_r0c14_nw100_ew100_8.rgg,15250,14449.0,14403.0,14403.0,13530.0,13994,17377.0
500_r0c14_nw100_ew100_9.rgg,16199,15038.0,14987.0,14987.0,14650.0,14365,18674.0
500_r0c14_nw10_ew1000_0.rgg,148438,126864.0,126864.0,126864.0,119517.0,122807,178474.0
500_r0c14_nw10_ew1000_1.rgg,146753,127204.0,127204.0,127204.0,122792.0,122519,194968.0
500_r0c14_nw10_ew1000_2.rgg,135668,125985.0,123220.0,123220.0,120306.0,127234,175388.0
500_r0c14_nw10_ew1000_3.rgg,132101,126616.0,125183.0,125183.0,122600.0,122251,178802.0
500_r0c14_nw10_ew1000_4.rgg,143615,128372.0,125035.0,125035.0,121669.0,124679,167821.0
500_r0c14_nw10_ew1000_5.rgg,137377,121444.0,121444.0,121444.0,113447.0,124507,181117.0
500_r0c14_nw10_ew1000_6.rgg,137461,130185.0,121302.0,121302.0,118394.0,122431,210088.0
500_r0c14_nw10_ew1000_7.rgg,137681,129885.0,124400.0,124400.0,118737.0,122771,200155.0
500_r0c14_nw10_ew1000_8.rgg,142890,129461.0,127913.0,127913.0,117355.0,127917,173426.0
500_r0c14_nw10_ew1000_9.rgg,132780,128934.0,128628.0,128628.0,126330.0,124654,173793.0
