instance,GREEDY-NEW,Cross_LS,Shift_Full,Grid_Ensemble,Clique_Ensemble,LP_Rounding,GRASP,SA_smart,Exact_Clique_Cut,NEW-2,Exact_Warm_Grid,Exact_Grid_Cut,Exact_Grid_SOS1
500_r0c14_nw1000_ew10_0.rgg,8148,5904.0,5438.0,4571.0,4571.0,4571.0,4819,7607.0,4550.0,4550.0,4550.0,4550.0,4550.0
500_r0c14_nw1000_ew10_1.rgg,7723,6557.0,6189.0,5346.0,5346.0,5346.0,5686,7781.0,4983.0,4983.0,4983.0,4983.0,4983.0
500_r0c14_nw1000_ew10_2.rgg,6313,5940.0,6021.0,5283.0,5283.0,5283.0,5428,6319.0,4798.0,4798.0,4798.0,4798.0,4798.0
500_r0c14_nw1000_ew10_3.rgg,6659,6840.0,6147.0,4751.0,4751.0,4751.0,5278,7441.0,4623.0,4623.0,4623.0,4623.0,4623.0
500_r0c14_nw1000_ew10_4.rgg,8308,6253.0,6472.0,5107.0,5107.0,5107.0,5275,9000.0,4722.0,4722.0,4722.0,4722.0,4722.0
500_r0c14_nw1000_ew10_5.rgg,6599,5507.0,5153.0,5005.0,5005.0,5005.0,5199,7453.0,4937.0,4937.0,4937.0,4937.0,4937.0
500_r0c14_nw1000_ew10_6.rgg,8174,7360.0,5653.0,5106.0,5106.0,5106.0,5817,7168.0,4769.0,4769.0,4769.0,4769.0,4769.0
500_r0c14_nw1000_ew10_7.rgg,5699,6210.0,5062.0,4305.0,4305.0,4305.0,4590,6217.0,4296.0,4296.0,4296.0,4296.0,4296.0
500_r0c14_nw1000_ew10_8.rgg,6113,5847.0,6063.0,5031.0,5031.0,5031.0,5175,9309.0,4838.0,4838.0,4838.0,4838.0,4838.0
500_r0c14_nw1000_ew10_9.rgg,8107,7562.0,6228.0,5515.0,5515.0,5515.0,6987,8922.0,5070.0,5070.0,5070.0,5070.0,5070.0
500_r0c14_nw100_ew100_0.rgg,16067,13575.0,14114.0,14673.0,14131.0,19239.0,14486,14631.0,13124.0,13124.0,13124.0,13124.0,13124.0
500_r0c14_nw100_ew100_1.rgg,15748,14580.0,13989.0,14555.0,14742.0,17244.0,14530,14376.0,13344.0,13340.0,13244.0,13340.0,13345.0
500_r0c14_nw100_ew100_2.rgg,16985,15439.0,15142.0,15215.0,15516.0,18767.0,15435,14890.0,13823.0,13839.0,13823.0,13839.0,13839.0
500_r0c14_nw100_ew100_3.rgg,15617,15216.0,14390.0,14552.0,14622.0,18784.0,14251,14607.0,13155.0,13244.0,13155.0,13244.0,13155.0
500_r0c14_nw100_ew100_4.rgg,15204,15232.0,14471.0,14480.0,14817.0,17929.0,14634,13866.0,13530.0,13462.0,13530.0,13462.0,13583.0
500_r0c14_nw100_ew100_5.rgg,16066,14447.0,14422.0,14508.0,14547.0,17648.0,14720,14726.0,13173.0,13173.0,13173.0,13173.0,13173.0
500_r0c14_nw100_ew100_6.rgg,15389,15198.0,14974.0,14132.0,14833.0,18644.0,14657,14220.0,13511.0,13511.0,13511.0,13511.0,13511.0
500_r0c14_nw100_ew100_7.rgg,15732,15045.0,14129.0,14395.0,14365.0,18259.0,14760,14831.0,13402.0,13402.0,13439.0,13402.0,13471.0
500_r0c14_nw100_ew100_8.rgg,15250,14492.0,13634.0,14403.0,14002.0,17377.0,13994,13379.0,13172.0,13172.0,13172.0,13172.0,13172.0
500_r0c14_nw100_ew100_9.rgg,16199,15160.0,14165.0,14987.0,14705.0,18674.0,14365,15474.0,13372.0,13407.0,13372.0,13407.0,13372.0
500_r0c14_nw10_ew1000_0.rgg,148438,131482.0,122222.0,126864.0,120442.0,174756.0,122807,121367.0,110638.0,110638.0,111249.0,110638.0,110589.0
500_r0c14_nw10_ew1000_1.rgg,146753,123666.0,124261.0,127204.0,122550.0,194968.0,122519,122824.0,113127.0,113127.0,114033.0,113127.0,113127.0
500_r0c14_nw10_ew1000_2.rgg,135668,124261.0,126835.0,123220.0,122735.0,172973.0,127234,121442.0,112124.0,111909.0,111909.0,111909.0,112531.0
500_r0c14_nw10_ew1000_3.rgg,132101,131817.0,121724.0,125183.0,119959.0,180818.0,122251,121002.0,109001.0,109001.0,108626.0,108626.0,108626.0
500_r0c14_nw10_ew1000_4.rgg,143615,127895.0,123730.0,125035.0,128104.0,166407.0,124679,128261.0,113279.0,113279.0,113279.0,113318.0,113279.0
500_r0c14_nw10_ew1000_5.rgg,137377,121365.0,122175.0,121444.0,120532.0,183223.0,124507,115493.0,110032.0,110032.0,110032.0,110032.0,110032.0
500_r0c14_nw10_ew1000_6.rgg,137461,136626.0,128285.0,121302.0,125968.0,210088.0,122431,124703.0,113471.0,113722.0,114357.0,113471.0,113471.0
500_r0c14_nw10_ew1000_7.rgg,137681,131083.0,126400.0,124400.0,126718.0,200155.0,122771,121533.0,114731.0,114731.0,114444.0,114731.0,114444.0
500_r0c14_nw10_ew1000_8.rgg,142890,127948.0,123329.0,127913.0,126915.0,173571.0,127917,122127.0,110892.0,110741.0,110874.0,110874.0,110874.0
500_r0c14_nw10_ew1000_9.rgg,132780,131087.0,124973.0,128628.0,126767.0,181204.0,124654,125334.0,114194.0,114194.0,114194.0,114194.0,114194.0
