instance,Exact_Clique_Cut,NEW-2,Exact_Warm_Grid,Exact_Grid_Cut,Exact_Grid_SOS1
500_r0c14_nw1000_ew10_0.rgg,4550.0,4550.0,4550.0,4550.0,4550.0
500_r0c14_nw1000_ew10_1.rgg,4983.0,4983.0,4983.0,4983.0,4983.0
500_r0c14_nw1000_ew10_2.rgg,4798.0,4798.0,4798.0,4798.0,4798.0
500_r0c14_nw1000_ew10_3.rgg,4623.0,4623.0,4623.0,4623.0,4623.0
500_r0c14_nw1000_ew10_4.rgg,4722.0,4722.0,4722.0,4722.0,4722.0
500_r0c14_nw1000_ew10_5.rgg,4937.0,4937.0,4937.0,4937.0,4937.0
500_r0c14_nw1000_ew10_6.rgg,4769.0,4769.0,4769.0,4769.0,4769.0
500_r0c14_nw1000_ew10_7.rgg,4296.0,4296.0,4296.0,4296.0,4296.0
500_r0c14_nw1000_ew10_8.rgg,4838.0,4838.0,4838.0,4838.0,4838.0
500_r0c14_nw1000_ew10_9.rgg,5070.0,5070.0,5070.0,5070.0,5070.0
500_r0c14_nw100_ew100_0.rgg,13124.0,13124.0,13124.0,13124.0,13124.0
500_r0c14_nw100_ew100_1.rgg,13344.0,13340.0,13244.0,13340.0,13345.0
500_r0c14_nw100_ew100_2.rgg,13823.0,13839.0,13823.0,13839.0,13839.0
500_r0c14_nw100_ew100_3.rgg,13155.0,13244.0,13155.0,13244.0,13155.0
500_r0c14_nw100_ew100_4.rgg,13530.0,13462.0,13530.0,13462.0,13583.0
500_r0c14_nw100_ew100_5.rgg,13173.0,13173.0,13173.0,13173.0,13173.0
500_r0c14_nw100_ew100_6.rgg,13511.0,13511.0,13511.0,13511.0,13511.0
500_r0c14_nw100_ew100_7.rgg,13402.0,13402.0,13439.0,13402.0,13471.0
500_r0c14_nw100_ew100_8.rgg,13172.0,13172.0,13172.0,13172.0,13172.0
500_r0c14_nw100_ew100_9.rgg,13372.0,13407.0,13372.0,13407.0,13372.0
500_r0c14_nw10_ew1000_0.rgg,110638.0,110638.0,111249.0,110638.0,110589.0
500_r0c14_nw10_ew1000_1.rgg,113127.0,113127.0,114033.0,113127.0,113127.0
500_r0c14_nw10_ew1000_2.rgg,112124.0,111909.0,111909.0,111909.0,112531.0
500_r0c14_nw10_ew1000_3.rgg,109001.0,109001.0,108626.0,108626.0,108626.0
500_r0c14_nw10_ew1000_4.rgg,113279.0,113279.0,113279.0,113318.0,113279.0
500_r0c14_nw10_ew1000_5.rgg,110032.0,110032.0,110032.0,110032.0,110032.0
500_r0c14_nw10_ew1000_6.rgg,113471.0,113722.0,114357.0,113471.0,113471.0
500_r0c14_nw10_ew1000_7.rgg,114731.0,114731.0,114444.0,114731.0,114444.0
500_r0c14_nw10_ew1000_8.rgg,110892.0,110741.0,110874.0,110874.0,110874.0
500_r0c14_nw10_ew1000_9.rgg,114194.0,114194.0,114194.0,114194.0,114194.0
